"ID","Colour","Control","Capital","Settlement POS","Build Slot","Object"
"death4","3e2545","free",,"713,385","death_settlement_1_ruin,unique_dragon_graveyard,death_food_a1_scavenger,free_build",
"desert_island1","b4c383","free",,"206,896","free_settlement,free_port,free_port,unique_great_sail",
"desert_island2","9abf21","free",,"358,840","free_settlement,free_port,unique_jade_river",
"desert_lizard","29843c","free",,"452,1084",,
"desert_sand1","5a5413","free",,,,
"desert_sand2","89855b","free",,,"unique_sphinx_pyramid",
"desert_sand3","adaa82","free",,,"unique_white_oasis",
"desert_sand4","8f8d73","free",,,"unique_diamond_wall",
"desert_doomud_troll","8db195","free",,,"unique_troll_cave",
"east_bottom_island1","428681","free",,,"free_settlement,free_port,free_build,unique_penguin_paradise",
"east_bottom_island2","05f3e0","free",,,,
"east_hoom_troll","979978","free",,,"unique_troll_cave",
"east_plain1","9dac80","free",,,,
"east_plain2","719e75","free",,,"unique_crystal_hill",
"east_plain3","bdde7f","free",,,,
"east_plain4","93dc07","free",,,,
"east_plain5","9fc556","free",,,"unique_joy_village",
"east_plain6","c4f567","free",,,"unique_saffron_hill",
"east_plain7","c8d5ae","free",,,"unique_light_tower",
"east_plain8","128d1d","free",,,,
"east_top_island1","837300","free",,,,
"east_top_island2","d8be00","free",,,"free_settlement,free_build,free_port,unique_crab_island",
"east_top_island3","a88f28","free",,,,
"east_top_island4","d2c359","free",,,,
"east_tundra1",748376,"free","TRUE",,,
"east_tundra2","cad7cb","free",,,"free_settlement,free_build",
"east_tundra3","8edbcc","free",,,"free_settlement,free_build,unique_ice_dome,unique_yeti_valley",
"east_tundra4","5f6b60","free",,,"barren_settlement_1_stump,free_build",
"east_tundra5","4d563d","free",,,"free_settlement,free_build,free_build",
"great_sontriel1","8753b8","free",,,,
"great_sontriel2","bf22e1","free",,,,
"great_sontriel3","4e0099","free","TRUE",,,
"great_sontriel4","7000dc","free",,,"unique_seat_of_power",
"great_sontriel5","9f5ae0","free",,,,
"great_sontriel6","845ea8","free",,,,
"great_sontriel7","520ba0","free",,,"unique_phoenix_nest",
"great_sontriel8","594c67","free",,,,
"highland_hlilitan1","d1c1a2","free","TRUE",,,
"highland_hlilitan2","523a0d","free",,,,
"highland1","c7a157","free",,,"unique_rainbow_pot",
"highland2","72644a","free",,,"free_big_river",
"highland3","efd39d","free",,,,
"highland4","f1b545","free",,,"unique_spring_of_fortune",
"holy1","964a6c","free",,,,
"holy2","830b41","free",,,,
"holy3","ea74a9","free","TRUE",,"unique_white_palace",
"holy4","412330","free",,,"unique_kings_gallow",
"holy5","ff4c9d","free",,,"unique_heaven_peak",
"holy6","4a2e3b","free",,,,
"marsh_island1","c5e899","free",,,"unique_rainbow_lake",
"marsh_island2","47675f","free",,,,
"marsh_jungle1","825109","free",,,"unique_meat_mountain",
"marsh_jungle2","136b55","free",,,"free_settlement,free_build,free_build",
"marsh_majala1","ccb189","free",,,,
"marsh_majala2","a0ca4e","free",,,"unique_blood_lake",
"marsh_majala3","e3a447","free","TRUE","1455,1650",,
"marsh_majala4","588400","free",,,"unique_golden_city,free_gold",
"mountain_debachan_darkelf","503333","free",,,"mountain_settlement_3_noble_hold,mountain_barrack_c1_elf_quarter,mountain_barrack_d1_elf_workshop,mountain_food_b1_elf_food_hall,free_build,free_build,free_build",
"mountain1","901919","free",,,,
"mountain2","7a0000","free",,,"free_settlement,free_build,free_build,free_build",
"mountain3","8e5e00","free",,,"unique_hydra_lair",
"mountain4","786a4f","free",,,"free_gold",
"mountain5","b47171","free","TRUE",,,
"mountain6","5b1818","free",,,,
"mountain7","d60000","free",,,"free_gem",
"mountain8","da9003","free",,,"unique_ruby_hall",
"near_rabbit_forest1","ffeb00","free",,,"free_settlement,free_build,free_build,free_build",
"near_rabbit_forest2","ff4100","free",,,"free_settlement,free_build,free_build,free_build,free_build",
"near_rabbit_forest3","0078ff","free",,,"free_settlement,free_build,free_build,free_build",
"oimita1","d9c722","free","TRUE",,"unique_minotaur_dungeon",
"oimita2","928600","free",,,"free_iron",
"oimita3","d7cf75","free",,"473,867",,
"oimita4","615e43","free",,"520,1000",,
"port_lhu","3d726e","free",,,,
"port_lil","00ab9d","free",,,,
"port_whe","5f7535","free",,,,
"rabbit_forest1","1ebf00","free",,"1961,631","small_settlement_1_warren_tiny,free_build,free_build,free_build,free_build",
"rabbit_forest2","9fdc94","weealliance",,"2114,570","small_settlement_2_warren_small,small_food_1_garden,free_build,free_build",
"rabbit_forest3","9ae3b7","weealliance","TRUE","2280,662","small_settlement_3_warren_moderate,unique_rabbit_jousting_arena,unique_rabbit_first_warren,small_barrack_a1_warrior_warren,free_build,free_build","2:(unique_rabbit_jousting_arena;2276;649;0),3:(unique_rabbit_first_warren;2221;557;0)"
"rabbit_forest4","be4444","free",,"2115,678","free_settlement,unique_great_red_tree,free_build,free_build,free_build","2:(unique_great_red_tree;2170;672;0)"
"sisran_milkas_doll1","e112e9","free",,,"free_gem",
"sisran_milkas_doll2","8c448f","free",,,,
"sisran_milkas_doll3","dca9de","dollkingdom","TRUE",,,
"sisran_milkas_doll4","603862","free",,,"unique_clock_tower",
"sisran_milkas_doll5","86008b","free",,,"free_gold",
"top_island","e39300","free",,,"free_settlement,free_port,free_build",
"unicorn","8b00b1","free",,,"unique_magical_forest",
"wood1","87aeda","free",,,"unique_seven_light",
"wood2","0c4382","free",,,"unique_grand_flower",
"wood3","c0dcfc","free","TRUE",,,
"wood4","7f8d9d","free",,,"free_big_river",
"wood5","a4c8f0","free",,,,
"wood6","003066","free",,,"free_big_river",
