"Move","Name","Buttons","Position","Prepare Animation","After Animation","AI Range","AI Delay","AI Condition","Range","Cooldown","Resource Cost","Power","Push Impact","Pull Impact","Up Impact","Down Impact","Critical Chance Bonus","Element","Status","Enemy Status","Special Effect","Property"
"A1.4","Guillotine Slash","Down,Forward,Special","Air",,,300,,,0,,10,,,,,,,"Physical",,,,
"A1.5","Heads Will Roll","Down,Forward,Special","Air",,,300,,,0,,10,,,,,,,"Physical",,,,
"A2.1","Demon Hand","Backward,Down,Forward,Special","Stand",,,250,,,0,5,15,,,,,,,,,,,
"A2.2","Blood Drain","Backward,Down,Forward,Special","Stand",,,250,,,0,5,,,,,,,,,,,,
"A2.3","Essence Drain","Backward,Down,Forward,Special","Stand",,,250,,,0,5,,,,,,,,,,,,
"A2.4","Vampiric Touch","Backward,Down,Forward,Special","Stand",,,250,,,0,5,,,,,,,,,,,,
"A2.5","Life Leech","Backward,Down,Forward,Special","Stand",,,250,,,0,5,,,,,,,,,,,,
"A3.1","Bad Blood","Down,Down,Special","Stand",,,700,,,500,5,,,,,,,,,57,,,
"A3.2","Fatal Blood","Down,Down,Special","Stand",,,700,,,500,10,,,,,,,,,57,,,
"A3.3","Harden Blood","Down,Down,Special","Stand",,,700,,,500,10,,,,,,,,,57,,,
"A3.4","Demonic Blood","Down,Down,Special","Stand",,,700,,,500,10,,,,,,,,,58,,,
"A3.5","Hellish Blood","Down,Down,Special","Stand",,,700,,,500,10,,,,,,,,,58,,,
"A4.1","Blood Flood","Guard,Down,Down,Special","Air",,,1000,,,1300,10,25,,,,,,,,,,,
"A4.2","River of Blood","Guard,Down,Down,Special","Air",,,,,,,,,,,,,,,,,,,
"A4.3","Oceanic Blood","Guard,Down,Down,Special","Air",,,,,,,,,,,,,,,,,,,
"A4.4","Demonic World","Guard,Down,Down,Special","Air",,,,,,,,,,,,,,,,,,,
"A4.5","Ruler of Hell","Guard,Down,Down,Special","Air",,,3000,,,5000,,,,,,,,,,,,,
"A5.1","Fear Aura","Guard,Down,Special","Stand",,,1000,,,1500,,15,,,,,,,,,,,
"A5.2","Terror Image","Guard,Down,Special","Stand",,,1000,,,1500,,,,,,,,,,,,,
"A5.3","Red Vision","Guard,Down,Special","Stand",,,1500,,,2000,,,,,,,,,,,,,
"A5.4","Demonic Sight","Guard,Down,Special","Stand",,,1500,,,2000,,,,,,,,,,,,,
"A5.5","Nemesis of All Being","Guard,Down,Special","Stand",,,2000,,,3000,,,,,,,,,,,,,
"B1.1","Guard Smash","Forward,Special","Couch",,,250,,,0,,,,,,,,,,,,,
"B1.2","Stunning Strike","Forward,Special","Couch",,,250,,,0,,,,,,,,,,,,,
"B1.3","Cruel Justice","Forward,Special","Couch",,,250,,,0,,,,,,,,,,,,,
"B1.4","Apprehend Suspect","Forward,Special","Couch",,,250,,,0,,,,,,,,,,,,,
"B1.5","Brutal Blow","Forward,Special","Couch",,,250,,,0,,,,,,,,,,,,,
"B2.1","Onslaught","Backward,Down,Forward,Special","Stand",,,,,,,8,5,,,,,,,,,,,
"B2.2","Extermination","Backward,Down,Forward,Special","Stand",,,,,,,,,,,,,,,,,,,
"B2.3","Massacre","Backward,Down,Forward,Special","Stand",,,,,,,,,,,,,,,,,,,
"B2.4","Genocide","Backward,Down,Forward,Special","Stand",,,,,,,,,,,,,,,,,,,
"B2.5","Carnage Unleash","Backward,Down,Forward,Special","Stand",,,,,,,,,,,,,,,,,,,
"B3.1","Cleave","Down,Forward,Special","Stand",,,,,,,,3,,,,,,,,,,,
"B3.2","Great Cleave","Down,Forward,Special","Stand",,,,,,,,,,,,,,,,,,,
"B3.3","Supreme Cleave","Down,Forward,Special","Stand",,,,,,,,,,,,,,,,,,,
"B3.4","Great Divider","Down,Forward,Special","Stand",,,,,,,,,,,,,,,,,,,
"B3.5","Reality Sunder","Down,Forward,Special","Stand",,,,,,,,,,,,,,,,,,,
"B4.1","Right of Law","Guard,Down,Down,Special","Air",,,,,,,10,,,,,,,,,,,,
"B4.2","Law Bringer","Guard,Down,Down,Special","Air",,,,,,,,,,,,,,,,,,,
"B4.3","Justice Above All","Guard,Down,Down,Special","Air",,,,,,,,,,,,,,,,,,,
"B4.4","Absolute Order","Guard,Down,Down,Special","Air",,,,,,,,,,,,,,,,,,,
"B4.5","Equality Under Heaven","Guard,Down,Down,Special","Air",,,,,,,,,,,,,,,,,,,
"B5.1","Punishing Crime","Down,Forward,Up,Special","Stand",,,,,,,10,,,,,,,,,,,,
"B5.2","Condemnation","Down,Forward,Up,Special","Stand",,,,,,,,,,,,,,,,,,,
"B5.3","Instant Verdict","Down,Forward,Up,Special","Stand",,,,,,,,,,,,,,,,,,,
"B5.4","Divine Punishment","Down,Forward,Up,Special","Stand",,,,,,,,,,,,,,,,,,,
"B5.5","Judgment Day","Down,Forward,Up,Special","Stand",,,,,,,,,,,,,,,,,,,
