"ID","Target","Relation","Text ID","Text"
"leader_doll_king","death","bad","greet_1","What do you want, traitor?"
"leader_doll_king","death","bad","greet_2","You wish to make amends?"
"leader_doll_king","death","bad","greet_3",
"leader_doll_king","death","bad","taunt_1",
"leader_doll_king","death","bad","taunt_2",
"leader_doll_king","death","bad","taunt_3",
"leader_doll_king","death","bad","accept_1",
"leader_doll_king","death","bad","accept_2",
"leader_doll_king","death","bad","accept_3",
"leader_doll_king","death","bad","accept_4",
"leader_doll_king","death","bad","reject_1",
"leader_doll_king","death","bad","reject_2",
"leader_doll_king","death","bad","reject_3",
"leader_doll_king","death","bad","they_war_1","You have become too erroneous; remodelling operation in process."
"leader_doll_king","death","bad","they_war_2",
"leader_doll_king","death","bad","you_war_1",
"leader_doll_king","death","bad","you_war_2",
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"leader_king","any","good","greet_1","Welcome to our kingdom."
"leader_king","any","good","taunt_1","You are welcome to lose."
"leader_king","any","good","taunt_2","You are welcome to surrender."
"leader_king","any","good","accept_1","You are welcome."
"leader_king","any","good","accept_2","We welcome this offer."
"leader_king","any","good","deal_1","You are welcome to accept."
"leader_king","any","good","reject_1",
"leader_king","any","good","you_reject_1","We welcome this rejection."
"leader_king","any","good","you_reject_2",
"leader_king","any","good","they_war_1","You are welcome to resist"
"leader_king","any","good","you_war_1","We welcome this war."
"leader_king","any","good","lose_1",
"leader_king","any","neutral","greet_1",
"leader_king","any","neutral","greet_2",
"leader_king","any","neutral","greet_3",
"leader_king","any","neutral","taunt_1",
"leader_king","any","neutral","taunt_2",
"leader_king","any","neutral","taunt_3",
"leader_king","any","neutral","accept_1",
"leader_king","any","neutral","accept_2",
"leader_king","any","neutral","accept_3",
"leader_king","any","neutral","accept_4",
"leader_king","any","neutral","deal_1",
"leader_king","any","neutral","deal_2",
"leader_king","any","neutral","deal_3",
"leader_king","any","neutral","reject_1",
"leader_king","any","neutral","reject_2",
"leader_king","any","neutral","reject_3",
"leader_king","any","neutral","reject_4",
"leader_king","any","neutral","you_reject_1",
"leader_king","any","neutral","you_reject_2",
"leader_king","any","neutral","they_war_1",
"leader_king","any","neutral","they_war_2",
"leader_king","any","neutral","you_war_1",
"leader_king","any","neutral","you_war_2",
"leader_king","any","neutral","you_war_3",
"leader_king","any","neutral","lose_1",
"leader_king","any","bad","greet_1",
"leader_king","any","bad","greet_2",
"leader_king","any","bad","greet_3",
"leader_king","any","bad","taunt_1",
"leader_king","any","bad","taunt_2",
"leader_king","any","bad","taunt_3",
"leader_king","any","bad","accept_1",
"leader_king","any","bad","accept_2",
"leader_king","any","bad","deal_1",
"leader_king","any","bad","deal_2",
"leader_king","any","bad","reject_1",
"leader_king","any","bad","reject_2",
"leader_king","any","bad","reject_3",
"leader_king","any","bad","you_reject_1",
"leader_king","any","bad","you_reject_2",
"leader_king","any","bad","they_war_1",
"leader_king","any","bad","they_war_2",
"leader_king","any","bad","you_war_1",
"leader_king","any","bad","you_war_2",
"leader_king","any","bad","you_war_3",
"leader_king","any","bad","lose_1",
