"Move","Name","Buttons","Position","Prepare Animation","After Animation","AI Range","AI Delay","AI Condition","Range","Cooldown","Resource Cost","Power","Push Impact","Pull Impact","Up Impact","Down Impact","Critical Chance Bonus","Element","Status","Enemy Status","Special Effect","Property"
"C5.1","Retreating Shot","Down,Backward,Strong","Stand",,,600,,,2200,10,1,68,35,,,60,,"Physical",,,,"all child moveset,x_momentum:-500,movable,forced move"
"C5.2","Tactical Withdrawal","Down,Backward,Strong","Stand",,,400,,,2200,10,1,73,35,,,60,,"Physical",,5,,"all child moveset,x_momentum:-500,movable,forced move"
"C5.3","Luring Escape","Down,Backward,Strong","Stand",,,400,,,2200,10,1,82,35,,,60,,"Physical",,"5,12",,"all child moveset,x_momentum:-500,movable,forced move"
"C5.4","Ambush Setup","Down,Backward,Strong","Stand",,,400,,,2200,10,3,64,35,,,60,,"Physical",,"5,12,36",,"all child moveset,x_momentum:-500,movable,forced move"
"C5.5","Death Trap","Down,Backward,Strong","Stand",,,400,,,2200,10,3,75,35,,,60,,"Physical",,"5,12,36",,"all child moveset,x_momentum:-500,penetrate,movable,forced move"
"C6.1","Rapid Draw","Down,Backward,Weak","Stand",,,1000,,,,60,0,,,,,,,"Physical",92,,,
"C6.2","Combat Acceleration","Down,Backward,Weak","Stand",,,1000,,,,60,0,,,,,,,"Physical","90,92",,,
"C6.3","Planning Annihilation","Down,Backward,Weak","Stand",,,1000,,,,60,0,,,,,,,"Physical","90,92,93",,,
"C6.4","Overcome the Limit","Down,Backward,Weak","Stand",,,1000,,,,60,0,,,,,,,"Physical","90,92,93,28",,,
"C6.5","Supreme Speed","Down,Backward,Weak","Stand",,,1000,,,500,60,0,,,,,,,"Physical","90,92,93,28",,,
"A1.1","Explosive Arrow","Down,Forward,Special","Air",,,,,,,,3,,,,,,,"Fire",,,,
"A1.2","Firework Arrow","Down,Forward,Special","Air",,,,,,,,3,,,,,,,"Fire",,,,
"A1.3","Force Arrow","Down,Forward,Special","Air",,,,,,,,3,,,,,,,"Fire",,,,
"A1.4","Fire Burst Arrow","Down,Forward,Special","Air",,,,,,,,3,,,,,,,"Fire",,,,
"A1.5","Volatile Bomb Arrow","Down,Forward,Special","Air",,,,,,,,3,,,,,,,"Fire",,,,
"A2.1","Fire Trail Arrow","Guard,Down,Forward,Special","Stand",,,,,,,,5,,,,,,,"Fire",,,,
"A2.2","Air Ignition Arrow","Guard,Down,Forward,Special","Stand",,,,,,,,5,,,,,,,"Fire",,,,
"A2.3","Infernal Arrow","Guard,Down,Forward,Special","Stand",,,,,,,,5,,,,,,,"Fire",,,,
"A2.4","Hellfire Arrow","Guard,Down,Forward,Special","Air",,,,,,,,5,,,,,,,"Fire",,,,
"A2.5","Bringer of Underworld","Guard,Down,Forward,Special","Air",,,,,,,,5,,,,,,,"Fire",,,,
"A3.1","Wings of War","Guard,Down,Backward,Special","Air",,,,,,,,,,,,,,,,,,,
"A3.2","Prelude of the Great War","Guard,Down,Backward,Special","Air",,,,,,,,,,,,,,,,,,,
"A3.3","War that Start All Wars","Guard,Down,Backward,Special","Air",,,,,,,,,,,,,,,,,,,
"A3.4","Permanent Conflict","Guard,Down,Backward,Special","Air",,,,,,,,,,,,,,,,,,,
"A3.5","Age of Chaos","Guard,Down,Backward,Special","Air",,,,,,,,,,,,,,,,,,,
"A4.1","Great March","Guard,Down,Down,Special","Air",,,,,,,,,,,,,,,,,,,
"A4.2","Masterful Momentum","Guard,Down,Down,Special","Air",,,,,,,,,,,,,,,,,,,
"A4.3","Huntfall","Guard,Down,Down,Special","Air",,,,,,,,,,,,,,,,,,,
"A4.4","Liberation","Guard,Down,Down,Special","Air",,,,,,,,,,,,,,,,,,,
"A4.5","March of the Four Wind","Guard,Down,Down,Special","Air",,,,,,,,,,,,,,,,,,,
"A5.1","Casus Belli","Down,Forward,Up,Special","Stand",,,,,,,,,,,,,,,,,,,
"A5.2","Great Conquest","Down,Forward,Up,Special","Stand",,,,,,,,,,,,,,,,,,,
"A5.3","Manifest Destiny","Down,Forward,Up,Special","Stand",,,,,,,,,,,,,,,,,,,
"A5.4","Divine Right","Down,Forward,Up,Special","Stand",,,,,,,,,,,,,,,,,,,
"A5.5","Heaven Mandate","Down,Forward,Up,Special","Stand",,,,,,,,,,,,,,,,,,,
"B1.1","Imbue Poison","Forward,Special","Couch",,,,,,,,,,,,,,,"Poison",,,,
"B1.2","Imbue Toxin","Forward,Special","Couch",,,,,,,,,,,,,,,"Poison",,,,
"B1.3","Imbue Numb Poison","Forward,Special","Couch",,,,,,,,,,,,,,,"Poison",,,,
"B1.4","Imbue Powder Poison","Forward,Special","Couch",,,,,,,,,,,,,,,"Poison",,,,
"B1.5","Imbue Deadly Poison","Forward,Special","Couch",,,,,,,,,,,,,,,"Poison",,,,
"B2.1","First Aid","Down,Special","Couch",,,,,,,,,,,,,,,,,,,
"B2.2","Field Surgeon","Down,Special","Couch",,,,,,,,,,,,,,,,,,,
"B2.3","Battle Medic","Down,Special","Couch",,,,,,,,,,,,,,,,,,,
"B2.4","War Doctor","Down,Special","Couch",,,,,,,,,,,,,,,,,,,
"B2.5","Conflict Healer","Down,Special","Couch",,,,,,,,,,,,,,,,,,,
"B3.1","Careful Shot","Forward,Special","Stand",,,,,,,,,,,,,,,,,,,
"B3.2","Sniping Shot","Forward,Special","Stand",,,,,,,,,,,,,,,,,,,
"B3.3","Pinpoint Shot","Forward,Special","Stand",,,,,,,,,,,,,,,,,,,
"B3.4","True Aim Shot","Forward,Special","Stand",,,,,,,,,,,,,,,,,,,
"B3.5","Perfect Shot","Forward,Special","Stand",,,,,,,,,,,,,,,,,,,
"B4.1","Free Destiny","Guard,Down,Forward,Special","Air",,,,,,,,,,,,,,,,,,,
"B4.2","Tilt the Scale","Guard,Down,Forward,Special","Air",,,,,,,,,,,,,,,,,,,
"B4.3","Freedom Before Order","Guard,Down,Forward,Special","Air",,,,,,,,,,,,,,,,,,,
"B4.4","Topple Tyranny","Guard,Down,Forward,Special","Air",,,,,,,,,,,,,,,,,,,
"B4.5","Anarchic Dream","Guard,Down,Forward,Special","Air",,,,,,,,,,,,,,,,,,,
"B5.1","Temporary Truce","Forward,Down,Special","Stand",,,,,,,,,,,,,,,,,,,
"B5.2","Peace Adaptation","Forward,Down,Special","Stand",,,,,,,,,,,,,,,,,,,
"B5.3","Peace Plan Establishment","Forward,Down,Special","Stand",,,,,,,,,,,,,,,,,,,
"B5.4","Armistice","Forward,Down,Special","Stand",,,,,,,,,,,,,,,,,,,
"B5.5","Road to Utopia","Forward,Down,Special","Stand",,,,,,,,,,,,,,,"Physical",,,,
