"Move","Name","Buttons","Position","Prepare Animation","After Animation","AI Range","AI Delay","AI Condition","Range","Cooldown","Resource Cost","Power","Push Impact","Pull Impact","Up Impact","Down Impact","Critical Chance Bonus","Element","Status","Enemy Status","Special Effect","Property"
"A3.4",,,"Stand",,,,,,,,,,,,,,,,,,,
"A3.5",,,"Stand",,,,,,,,,,,,,,,,,,,
"A4.1","Crushing Trap",,"Couch",,,,,,,,,,,,,,,,,,,
"A4.2","Quaking Trap",,"Couch",,,,,,,,,,,,,,,,,,,
"A4.3","Supersonic Trap",,"Couch",,,,,,,,,,,,,,,,,,,
"A4.4","Air Burst Trap",,"Couch",,,,,,,,,,,,,,,,,,,
"A4.5","Downfall Trap",,"Couch",,,,,,,,,,,,,,,,,,,
"A5.1","Illusion Decoy Trap",,"Stand",,,,,,,,,,,,,,,,,,,
"A5.2",,,"Stand",,,,,,,,,,,,,,,,,,,
"A5.3","Hypnotic Trap",,"Stand",,,,,,,,,,,,,,,,,,,
"A5.4","Domination Trap",,"Stand",,,,,,,,,,,,,,,,,,,
"A5.5","Eternal Control Trap",,"Stand",,,,,,,,,,,,,,,,,,,
"B1.1","Arrow Storm Trap",,"Stand",,,,,,,,,,,,,,,,,,,
"B1.2","Exploding Storm Trap",,"Stand",,,,,,,,,,,,,,,,,,,
"B1.3",,,"Stand",,,,,,,,,,,,,,,,,,,
"B1.4",,,"Stand",,,,,,,,,,,,,,,,,,,
"B1.5",,,"Stand",,,,,,,,,,,,,,,,,,,
"B2.1","Acid Trap",,"Stand",,,,,,,,,,,,,,,,,,,
"B2.2",,,"Stand",,,,,,,,,,,,,,,,,,,
"B2.3",,,"Stand",,,,,,,,,,,,,,,,,,,
"B2.4",,,"Stand",,,,,,,,,,,,,,,,,,,
"B2.5",,,"Stand",,,,,,,,,,,,,,,,,,,
"B3.1","Flash bang Trap",,"Couch",,,,,,,,,,,,,,,,,,,
"B3.2",,,"Couch",,,,,,,,,,,,,,,,,,,
"B3.3",,,"Couch",,,,,,,,,,,,,,,,,,,
"B3.4",,,"Couch",,,,,,,,,,,,,,,,,,,
"B3.5",,,"Couch",,,,,,,,,,,,,,,,,,,
"B4.1","Homing Shock Trap",,"Couch",,,,,,,,,,,,,,,,,,,
"B4.2",,,"Couch",,,,,,,,,,,,,,,,,,,
"B4.3",,,"Couch",,,,,,,,,,,,,,,,,,,
"B4.4",,,"Couch",,,,,,,,,,,,,,,,,,,
"B4.5",,,"Couch",,,,,,,,,,,,,,,,,,,
"B5.1","Victory Doll",,"Stand",,,,,,,,,,,,,,,,,,,
"B5.2","Celebration Doll",,"Stand",,,,,,,,,,,,,,,,,,,
"B5.3","Parade Dolls",,"Stand",,,,,,,,,,,,,,,,,,,
"B5.4","Noble Dolls",,"Stand",,,,,,,,,,,,,,,,,,,
"B5.5","Royal Dolls",,"Stand",,,,,,,,,,,,,,,,,,,
