"ID","Activate Range","Range","Cooldown","Resource Cost","Offence","Power","Penetrate","Impact X","Impact Y","Critical Chance","Element","Effects","Damage Effects","Summon","Status","Enemy Status","Effect Enemy Status","AI Condition","Property"
"spell_smoke",7000,1500,10,10,,,,,,,,,,,"smoke","smoke",,,
"spell_stone_rain",6000,1000,5,10,30,45,80,100,-50,,"earth",,"(boulder;speed;850;-500;-160;0;1;1;1),(boulder;speed;1000;-770;-160;0;1;1;1),(boulder;speed;1200;-540;-160;0;1;1;1),(boulder;speed;950;-600;-160;0;1;1;1),(boulder;speed;1130;-660;-160;0;1;1;1),(boulder;speed;870;-700;-160;0;1;1;1)",,,,"disrupt",,"direct"
"spell_taladamun_mirror",,500,15,40,,,,,,,,,,"summon_taladamun_mirror:3",,,,,
"spell_water_domain",,10000,10,15,,,,,,,,,,,,,,,
"spell_zombie_horde",4500,1000,5,20,,,,,,,,,,"death_undead_zombie:30",,,,,
"strategy_abandon_all_hope",2000,1500,60,60,,,,,,,,,,,,"terror,false_retreat,panic",,,
"strategy_absolute_command",500,20000,60,30,,,,,,,,,,,"clarity",,,,
"strategy_absolute_might",,1,60,20,,,,,,,,,,,"full_power,supreme_defence,true_speed",,,,
"strategy_age_of_heroes",200,100000,120,50,,,,,,,,,,,"strengthen,haste,brave,defence_boost,offence_boost",,,,
"strategy_arcane_blossom",100,4000,90,10,,,,,,,,,,,"regeneration,resource_generation",,,,
"strategy_betrayal",3000,200,120,45,,,,,,,,,,,,"betrayal",,,
"strategy_blazing_heart",,1,60,5,,,,,,,,,,,"full_power",,,,
"strategy_bravery",4000,2000,30,10,,,,,,,,,,,"brave",,,,
"strategy_bribery_betrayal",5000,500,120,70,,,,,,,,,,,,"betrayal",,,
"strategy_brilliance",6000,4000,60,60,,,,,,,,,,,"full_power,half_resource_cost,supreme_defence",,,,
"strategy_chaos_invasion",,1000,120,70,,,,,,,,,,"demon_warrior:3,demon_fire_breather:3,demon_creeper_claw:3",,,,,
"strategy_clarity",5000,2000,15,5,,,,,,,,,,,"clarity",,,,
"strategy_command_collapse",,4000,60,60,,,,,,,,,,,,"false_idle,confuse",,,
"strategy_commander's_duty",,1,60,5,,,,,,,,,,,"haste,resource_generation,clarity",,,,
"strategy_coward's_conviction",,2000,120,20,,,,,,,,,,,"fear,haste,second_wind,resource_generation,false_retreat",,,,
"strategy_cowardice",,3000,90,50,,,,,,,,,,,,"fear,false_retreat",,,
"strategy_crisis_measurement",3000,2000,75,55,,,,,,,,,,,"supreme_defence,true_speed",,,,
"strategy_deception",10000,1500,90,60,,,,,,,,,,,"invisible",,,,
"strategy_defiance",,1,60,5,,,,,,,,,,,"supreme_defence",,,,
"strategy_demoralise",5000,1500,45,20,,,,,,,,,,,,"fear",,,
"strategy_determination",5000,5000,45,5,,,,,,,,,,,"confident",,,,
"strategy_discipline",1500,1000,45,5,,,,,,,,,,,"offence_boost,defence_boost",,,,
"strategy_diversion",8000,750,60,30,,,,,,,,,,,,"false_retreat",,,
"strategy_divine_potency",,2000,60,50,,,,,,,,,,,"bless,strengthen,cure",,,,
"strategy_divine_purity",2000,5000,60,25,,,,,,,,,,,"bless,cure,clear_mind",,,,
"strategy_doll_wave",1000,,120,50,,,,,,,,,,"doll_candle_spear:4,doll_claw:3,doll_maid_knight:2,doll_butler_knife:2",,,,,
"strategy_dread_fury",,2500,120,35,,,,,,,,,,,"berserk,half_resource_cost","fear",,,
"strategy_dream_of_unification",2000,4000,120,60,,,,,,,,,,,"true_speed,full_power",,,,
"strategy_encourage",6000,4000,45,5,,,,,,,,,,,"hope",,,,
"strategy_ensnare",6000,3000,60,30,,,,,,,,,,,,"slow",,,
"strategy_entrap",6000,1000,60,30,,,,,,,,,,,,"pin_down,suppressed",,,
"strategy_escalation_of_conflict",,5000,90,65,,,,,,,,,,,"escalation_1,escalation_2,escalation_3","provoke",,,
"strategy_establish_control",,3000,30,25,,,,,,,,,,,"clarity,defence_boost",,,,
"strategy_false_advance",6000,500,45,30,,,,,,,,,,,,"false_advance",,,
"strategy_false_idle",6000,500,45,30,,,,,,,,,,,,"false_idle",,,
"strategy_false_retreat",6000,500,45,30,,,,,,,,,,,,"false_retreat",,,
"strategy_finest_mastery",,1,20,10,,,,,,,,,,,"resource_generation,true_speed",,,,
"strategy_forgotten_pain",6000,1000,45,50,,,,,,,,,,,"berserk,regeneration,cure",,,,
"strategy_foundation_of_an_empire",,10000,60,60,,,,,,,,,,,"full_power,supreme_defence",,,,
"strategy_gate_of_hell",,1000,120,70,,,,,,,,,,"demon_warrior:7",,,,,
"strategy_god_of_war",2000,1000,90,55,,,,,,,,,,,"true_speed,full_power,supreme_defence",,,,
"strategy_god_speed",,10000,60,45,,,,,,,,,,,"true_speed",,,,
"strategy_great_assault",,4000,45,35,,,,,,,,,,,"offence_boost",,,,
"strategy_great_destruction",,1,75,35,,,,,,,,,,,"full_power,offence_boost,resource_generation",,,,
"strategy_great_enlightenment",,2000,60,50,,,,,,,,,,,"resource_generation,half_resource_cost",,,,
"strategy_great_manoeuvre",,4000,45,30,,,,,,,,,,,"speed_boost",,,,
"strategy_great_resistance",,4000,45,30,,,,,,,,,,,"supreme_resistance",,,,
"strategy_great_taunt",5000,750,60,40,,,,,,,,,,,,"provoke",,,
"strategy_greed",10000,1200,25,35,,,,,,,,,,,"true_speed,marked_for_death,strengthen",,,,
"strategy_guardian_star",,1,45,20,,,,,,,,,,,"true_speed,regeneration,resource_generation",,,,
"strategy_imperial_decree",,10000,60,60,,,,,,,,,,,"supreme_defence,supreme_resistance","fear",,,
"strategy_incite_panic",,1000,60,35,,,,,,,,,,,,"panic",,,
"strategy_inevitable_end",4000,8000,75,55,,,,,,,,,,,,"terror,fear",,,
"strategy_ingenuity",,1,35,10,,,,,,,,,,,"half_resource_cost,resource_generation,supreme_resistance",,,,
"strategy_insight_echo",,500,45,15,,,,,,,,,,,"clarity,half_resource_cost,resource_generation,supreme_resistance",,,,
"strategy_justice",,1,30,5,,,,,,,,,,,"brave,haste,half_resource_cost,clarity,second_wind",,,,
"strategy_legislate_hegemony",,12000,60,35,,,,,,,,,,,"offence_boost,defence_boost,speed_boost",,,,
"strategy_lightning_advance",4500,2500,30,25,,,,,,,,,,,"speed_boost,offence_boost",,,,
"strategy_loyalty",,7000,30,40,,,,,,,,,,,"clarity,defence_boost,loyalty",,,,
"strategy_lure",6000,500,60,40,,,,,,,,,,,,"false_advance",,,
"strategy_majesty",7000,3000,45,30,,,,,,,,,,,"strengthen,haste,excited",,,,
"strategy_march_of_the_four_winds",,4444,60,30,,,,,,,,,,,"true_speed",,,,
"strategy_master_plan_initiative",10000,3000,90,50,,,,,,,,,,,"true_speed,second_wind,clarity,offence_boost","disrupt",,,
"strategy_mastery",,1,15,5,,,,,,,,,,,"resource_generation,speed_boost",,,,
"strategy_military_masterpiece",,5000,90,60,,,,,,,,,,,"full_power,speed_boost","disarmed",,,
"strategy_minor_clarity",,2000,15,10,,,,,,,,,,,"clarity",,,,
"strategy_minor_combat_aid",4000,1000,30,30,,,,,,,,,,,"medium_heal",,,,
"strategy_minor_defensive",,2000,30,5,,,,,,,,,,,"defence_boost",,,,
"strategy_minor_demoralise",4000,1000,30,10,,,,,,,,,,,,"fear",,,
"strategy_minor_discipline",,1000,30,5,,,,,,,,,,,"offence_boost,defence_boost",,,,
"strategy_minor_encourage",,2000,30,5,,,,,,,,,,,"hope",,,,
"strategy_minor_false_advance",5000,200,45,30,,,,,,,,,,,,"false_advance",,,
"strategy_minor_false_idle",5000,200,45,30,,,,,,,,,,,,"false_idle",,,
"strategy_minor_false_retreat",5000,200,45,30,,,,,,,,,,,,"false_retreat",,,
"strategy_minor_great_cure",,2000,15,20,,,,,,,,,,,"cure",,,,
"strategy_minor_offensive",,2000,25,20,,,,,,,,,,,"offence_boost",,,,
"strategy_minor_prayer",,2000,30,20,,,,,,,,,,,"bless",,,,
"strategy_minor_rally",,2000,25,20,,,,,,,,,,,"haste",,,,
"strategy_miracle_fortuity",,1500,45,35,,,,,,,,,,,"second_wind",,,,
"strategy_natural_chaos",,5000,120,70,,,,,,,,,,,"escalation_1,escalation_2,escalation_3","escalation_1,escalation_2,escalation_3",,,"weather:0"
"strategy_omen_of_victory",4000,5000,60,25,,,,,,,,,,,"strengthen,hope,excited,offence_boost",,,,
"strategy_on_the_defensive",3000,2000,45,40,,,,,,,,,,,"supreme_defence",,,,
"strategy_paragon_providence",,5000,60,45,,,,,,,,,,,"bless,haste,resource_generation",,,,
"strategy_pathfinding",,2000,20,20,,,,,,,,,,,"speed_boost,haste",,,,
"strategy_precise_execution",4000,1000,30,50,,,,,,,,,,,,"daze,distract,disorient,disrupt,vulnerable",,,
"strategy_purification",,5000,15,20,,,,,,,,,,,"cure,clarity",,,,
"strategy_rally",4000,2000,25,5,,,,,,,,,,,"haste",,,,
"strategy_reign_of_order",,6000,45,40,,,,,,,,,,,"clarity,speed_boost,pure_focus,loyalty",,,,
"strategy_rune_craft",,3000,15,10,,,,,,,,,,,"half_resource_cost",,,,
"strategy_saint_exemplar",,1500,30,25,,,,,,,,,,,"pure_focus,half_resource_cost",,,,
"strategy_salvation",,1500,60,45,,,,,,,,,,,"regeneration,second_wind",,,,
"strategy_static_mastery",,2000,30,20,,,,,,,,,,,"full_power,slow,pin_down",,,,
"strategy_steady_advance",4500,3500,30,20,,,,,,,,,,,"speed_boost,defence_boost",,,,
"strategy_terror",2500,2000,60,30,,,,,,,,,,,,"terror",,,
"strategy_torment_tempest",6000,1500,90,50,,,,,,,,,,,,"shock,panic,paralysis",,,
"strategy_triumphant_of_the_worthy",1500,3000,60,50,,,,,,,,,,,"supreme_defence,strengthen,haste",,,,
"strategy_undead_plague",4000,4000,60,40,,,,,,,,,,,,"plague",,,
"strategy_unity",4000,5000,30,30,,,,,,,,,,,"strengthen,hope",,,,
"strategy_unwavering_faith",,1500,30,45,,,,,,,,,,,"clarity,pure_focus",,,,
"strategy_web_of_deception",,10000,60,60,,,,,,,,,,,"offence_boost,defence_boost","provoke,confuse",,,
"strategy_will_domination",500,1200,30,60,,,,,,,,,,,,"betrayal",,,
"test",5000,5000,1,1,,,,,,,,"(test_effect;base;0;800;0;0;1;1;1)","(ice_pillar;base;0;3000;0;0;1;1;1)",,,,"stun",,"override_target:(ground;bottom),ignore_ground"
"test2",40000,3000,1,1,100,10,100000,4000,4000,,"fire","(test_effect;base;0;800;0;0;1;1;1)","(meteor;base;5500;-6100;-140;0;1;1;1)","small_rabbit_tower:1",,,"stun",,
"weather_blood",,1,120,30,,,,,,,,,,,,,,,"weather:12"
"weather_blood_winter",,1,120,30,,,,,,,,,,,,,,,"weather:14"
"weather_chaos_winter",,1,120,30,,,,,,,,,,,,,,,"weather:13"
"weather_cloud",,1,120,30,,,,,,,,,,,,,,,"weather:5"
"weather_dark_winter",,1,120,30,,,,,,,,,,,,,,,"weather:15"
"weather_decay",,1,120,30,,,,,,,,,,,,,,,"weather:10"
"weather_fog",,1,120,30,,,,,,,,,,,,,,,"weather:3"
"weather_hail",,1,120,30,,,,,,,,,,,,,,,"weather:7"
"weather_rain",,1,120,30,,,,,,,,,,,,,,,"weather:4"
"weather_random",,1,120,30,,,,,,,,,,,,,,,"weather:0"
"weather_sandstorm",,1,120,30,,,,,,,,,,,,,,,"weather:11"
"weather_snow",,1,120,30,,,,,,,,,,,,,,,"weather:2"
"weather_storm",,1,120,30,,,,,,,,,,,,,,,"weather:6"
"weather_sun",,1,120,30,,,,,,,,,,,,,,,"weather:1"
"weather_wet_fog",,1,120,30,,,,,,,,,,,,,,,"weather:9"
"weather_wind",,1,120,30,,,,,,,,,,,,,,,"weather:8"
