"ID","Name","Description",,,
"Resourceful.1","Resourceful","With enough practice, the hero can now passively multi-task between other activities and increase their resource at once.",,,
"Resourceful.2","Resourceful","With bloodlust, the hero now gains some resources every time they hit the enemy. An essential skill for those who want to keep unleashing skills with great speed.",,,
"Resourceful.3","Resourceful","With patience, the hero now gains some resources every time they block an attack from the enemy. A perfect upgrade for those who prefer defensive combat and devastating counterattack.",,,
"Resourceful.4","Resourceful","Advanced training in resource management allows the hero to have double the maximum resources possible and automatically regenerate resources even faster. Carnages of an unfathomable scale await.",,,
"Resourceful.5","Resourceful",,,,
"Combat Contest.0","Combat Contest","Let the hero be more skilled in combat, both offensive and defensive.",,,
"Combat Contest.1","Combat Contest","A good defensive stance is important in surviving a combat. Thorough training lets the hero guard against incoming blows more effectively.",,,
"Combat Contest.2","Combat Contest","Being mobile while guarding may look easy from an outsider's perspective, but it require a great deal of focus and rhythm balance. The hero is now capable of moving around while guarding.",,,
"Combat Contest.3","Combat Contest","Knowing how to guard makes the incoming blow less punishing than usual. Increasing guard cost reduction by 50%.",,,
"Combat Contest.4","Combat Contest","Predator in all combats. Any crash from this hero attack will trigger a haste buff effect, increasing their speed for a short while.",,,
"Combat Contest.5","Combat Contest",,,,
"Double Piercing.0","Double Piercing","Unleash a set of quick stabbing. Cost no resources and has a short cooldown.",,,
"Double Piercing.1","Double Piercing","A set of quick double stabs with a higher minor chance of a critical hit. A feat performed only by skilled swordsmen.",,,
"Double Piercing.2","Triple Piercing","Swift triple stabs with a higher moderate chance of a critical hit. The speed becomes much more difficult to see by untrained eyes.",,,
"Double Piercing.3","Quadruple Piercing","Quadruple stabs of unmatched speed with a higher moderate chance of a critical hit. Only those of inhuman eyes can see through this movement.",,,
"Double Piercing.4","Speed Piercing","Surpassing the speed of master swordsmen, uncountable stabs within a few seconds with a higher chance of a critical hit. The hero also seems to become faster afterwards for a short time.",,,
"Double Piercing.5","Unseen Assaults","Into the realm of invisibility, it is impossible to illustrate each stab of this relentless attacks. The hero becomes seemingly immune to all damage during this move. ",,,
"Counterattack.0","Counterattack","Attempt to parry incoming enemy attack and perform counterattack(s). Cost no resources and has no cooldown.",,,
"Counterattack.1","Counterattack","A skilful parry and counterattack against incompetent attack from enemies by comparison. Quite a risky move with a high reward.",,,
"Counterattack.2","Counter Cross Slash","An attack of twice counterattack slashing after a successful parry. Deal a significant amount of damage.",,,
"Counterattack.3","Bloody Parry","A brutal counterattack against those foolish enough to attack. The close distance also lets the hero draw a significant amount of blood from the victims. Almost vampiric in nature.",,,
"Counterattack.4","Revenge Guard",,,,
"Counterattack.5","Sword of Vengeance",,,,
"Vital Slash.0","Vital Slash","A well-placed slash to a vital body part is enough to draw a pool of blood on the ground. Inflict bleeding and have a higher moderate critical hit chance.",,,
"Vital Slash.1","Vital Slash","A single slash to draw in death. Such blood sprouting will bolter the demonic power within.",,,
"Vital Slash.2","Bloodletting","There is no such thing as bad or good for the blood that will supplement the demon within. Losing an enormous amount of blood will also, no doubt, make the victim sluggish to move.",,,
"Vital Slash.3","Slow Killing",,,,
"Vital Slash.4","Bloodbath",,,,
"Vital Slash.5","Fountain of Blood",,,,
"Second Wind.0","Second Wind","Relief of exhaustion and pain, even temporarily, can shift the tide of battle. Recover some health with a moderate resource cost and cooldown.",,,
"Second Wind.1","Second Wind","Restored of strength to oppose the iniquities and injustices of this world. Or perhaps, at the very least, to preserve the soul of the unfortunate.",,,
"Second Wind.2","Steady Recovery","Bolster regenerative ability to last in combat much longer. Suffering minor injuries in high numbers can take a toll, as much as a few fatal ones. Being able to heal wounds over time is a much-needed boon to all righteous warriors.",,,
"Second Wind.3","Cleansing Body","Can it truly be said that the body is the dwelling of the celestials? One belief is that once the impurities pervade the body, the celestials leave. And thus, the body is left to decay. To be cleansed is to be one step closer to heaven.",,,
"Second Wind.4","Vitality Burst",,,,
"Second Wind.5","Complete Rejuvenation",,,,
"Eclipse Slash.0","Eclipse Slash","A powerful frontal arc slash, very strong damage and high knockdown impact. The skill has a moderate cooldown but costs no resources.",,,
"Eclipse Slash.1","Eclipse Slash","A frontal arc slash that somewhat resembles a moon eclipse. Very few will be able to resist such a powerful blow.",,,
"Eclipse Slash.2","Lesser Moon Arc",,,,
"Eclipse Slash.3","Greater Moon Arc",,,,
"Eclipse Slash.4","Pale Crescent",,,,
"Eclipse Slash.5","Beauty of Death",,,,
"Bash.0","Bash","A quick pummel blow that stuns and disorients enemies. Has low damage but is great for inflicting debuffs on strong foes. Cost no resources and has a small cooldown.",,,
"Bash.1","Bash","Some enemies can be too demanding to extinguish in one stroke of a sword. A disoriented enemy is less able to deflect or dodge a blow, even from a less powerful enemy.",,,
"Bash.2","Smite",,,,
"Bash.3","Stagger Strike",,,,
"Bash.4","Mercy Blade",,,,
"Bash.5","Nightmare Blade",,,,
"Execution.0","Execution",,,,
"Execution.1","Execution",,,,
"Execution.2","Beheading",,,,
"Execution.3","Decapitation",,,,
"Execution.4","Guillotine Slash",,,,
"Execution.5","Heads Will Roll",,,,
"Demon Hand.0","Demon Hand",,,,
"Demon Hand.1","Demon Hand",,,,
"Demon Hand.2","Blood Drain",,,,
"Demon Hand.3","Essence Drain",,,,
"Demon Hand.4","Vampiric Touch",,,,
"Demon Hand.5","Life Leech",,,,
"Bad Blood.0","Bad Blood",,,,
"Bad Blood.1","Bad Blood",,,,
"Bad Blood.2","Fatal Blood",,,,
"Bad Blood.3","Harden Blood",,,,
"Bad Blood.4","Demonic Blood",,,,
"Bad Blood.5","Hellish Blood",,,,
"Blood Flood.0","Blood Flood",,,,
"Blood Flood.1","Blood Flood",,,,
"Blood Flood.2","River of Blood",,,,
"Blood Flood.3","Oceanic Blood",,,,
"Blood Flood.4","Demonic World",,,,
"Blood Flood.5","Ruler of Hell",,,,
"Fear Aura.0","Fear Aura",,,,
"Fear Aura.1","Fear Aura",,,,
"Fear Aura.2","Terror Image",,,,
"Fear Aura.3","Red Vision",,,,
"Fear Aura.4","Demonic Sight",,,,
"Fear Aura.5","Nemesis of All Being",,,,
"Pommel Smash.0","Pommel Smash",,,,
"Pommel Smash.1","Pommel Smash",,,,
"Pommel Smash.2","Stunning Strike",,,,
"Pommel Smash.3","Cruel Justice",,,,
"Pommel Smash.4","Apprehend Suspect",,,,
"Pommel Smash.5","Brutal Blow",,,,
"Onslaught.0","Onslaught",,,,
"Onslaught.1","Onslaught",,,,
"Onslaught.2","Extermination",,,,
"Onslaught.3","Massacre",,,,
"Onslaught.4","Genocide",,,,
"Onslaught.5","Carnage Unleash",,,,
"Cleave.0","Cleave",,,,
"Cleave.1","Cleave",,,,
"Cleave.2","Great Cleave",,,,
"Cleave.3","Supreme Cleave",,,,
"Cleave.4","Great Divider",,,,
"Cleave.5","Reality Sunder",,,,
"Right of Law.0","Right of Law",,,,
"Right of Law.1","Right of Law",,,,
"Right of Law.2","Law Bringer",,,,
"Right of Law.3","Justice Above All",,,,
"Right of Law.4","Absolute Order",,,,
"Right of Law.5","Equality Under Heaven",,,,
"Punishing Crime.0","Punishing Crime",,,,
"Punishing Crime.1","Punishing Crime",,,,
"Punishing Crime.2","Condemnation",,,,
"Punishing Crime.3","Instant Verdict",,,,
"Punishing Crime.4","Divine Punishment",,,,
"Punishing Crime.5","Judgment Day",,,,
"Barrage.0","Barrage","Let loose a swift barrage of arrows. Use the same number of arrows shot but have no cooldown.",,,
"Barrage.1","Barrage","Quickly nock, draw and loose three arrows in quick succession. Achievable only with great training.",,,
"Barrage.2","Swift Arrows","More arrows, more damage.",,,
"Barrage.3","Rapid Shots","With so many arrows, some bound to hit right between the eyes. Each arrow now has a moderate critical chance.",,,
"Barrage.4","Volley",,,,
"Barrage.5","Finest Archery",,,,
"Charged Shot.0","Charged Shot","Draw and let loose a powerful arrow capable of penetrating enemies with ease. Use 1 arrow per shot with a small cooldown.",,,
"Charged Shot.1","Charged Shot","One well-aimed arrow to kill one enemy.",,,
"Charged Shot.2","Penetrating Shot","One arrow for multiple targets.",,,
"Charged Shot.3","Great Shot","An arrow with greater aim. The skill now has a much higher critical chance.",,,
"Charged Shot.4","Power Shot",,,,
"Charged Shot.5","Kill Shot",,,,
"Arrow Shower.0","Arrow Shower","Aim to the sky and unleash a huge number of arrows. The arrows will shortly after rain down on the nearest enemy. Cost a huge number of arrows but has no cooldown.",,,
"Arrow Shower.1","Arrow Shower","Rain death, lay waste.",,,
"Arrow Shower.2","Arrow Swarm",,,,
"Arrow Shower.3","Arrow Storm",,,,
"Arrow Shower.4","Arrow Tempest",,,,
"Arrow Shower.5","Blot Out the Sun",,,,
"Precision Slash.0","Precision Slash","Slice the enemy with precision. This attack can not be dodged by normal means. Cost no resource and have a low cooldown.",,,
"Precision Slash.1","Precision Slash","One slash, one hit ensured.",,,
"Precision Slash.2","Razor Edge Slash","Inflicting unavoidable pain and suffering on those who deserve it. The skill also inflicts Bleeding status.",,,
"Precision Slash.3","Penetrating Slash",,,,
"Precision Slash.4","Undeniable Attack",,,,
"Precision Slash.5","Fateful Assault",,,,
"Retreating Shot.0","Retreating Shot","Jump back and shoot at the enemy in the front. Great for dealing damage while dodging enemy attacks at once. Cost 1 arrow but has a moderate cooldown.",,,
"Retreating Shot.1","Retreating Shot","A quick jump back to ensure safety and maximum offence.",,,
"Retreating Shot.2","Tactical Withdrawal","A good withdrawal tactic is one that can inflict damage and also cause disorder among the pursuing enemies. The arrow from this skill now inflicts the Disrupt status to the enemy.",,,
"Retreating Shot.3","Luring Escape",,,,
"Retreating Shot.4","Ambush Setup",,,,
"Retreating Shot.5","Death Trap",,,,
"Rapid Draw.0","Rapid Draw","Enter into a focused state, allowing quick movement to attack with ferocity. Cost no resource but has high cooldown.",,,
"Rapid Draw.1","Rapid Draw","Speed is everything. ",,,
"Rapid Draw.2","Combat Acceleration","Faster, haste makes worth.",,,
"Rapid Draw.3","Planning Annihilation","Fast and strong, destruction awaits. The skill now also bestows the Strengthen status.",,,
"Rapid Draw.4","Overcome the Limit",,,,
"Rapid Draw.5","Supreme Speed","Speed wins a battle. Now, all statuses are applied to nearby allies.",,,
"Explosive Arrow.0","Explosive Arrow",,,,
"Explosive Arrow.1","Explosive Arrow",,,,
"Explosive Arrow.2","Firework Arrow",,,,
"Explosive Arrow.3","Force Arrow",,,,
"Explosive Arrow.4","Fire Burst Arrow",,,,
"Explosive Arrow.5","Volatile Bomb Arrow",,,,
"Fire Trail Arrow.0","Fire Trail Arrow",,,,
"Fire Trail Arrow.1","Fire Trail Arrow",,,,
"Fire Trail Arrow.2","Air Ignition Arrow",,,,
"Fire Trail Arrow.3","Infernal Arrow",,,,
"Fire Trail Arrow.4","Hellfire Arrow",,,,
"Fire Trail Arrow.5","Bringer of Underworld",,,,
"Wings of War.0","Wings of War",,,,
"Wings of War.1","Wings of War",,,,
"Wings of War.2","Prelude of the Great War",,,,
"Wings of War.3","War that Start All Wars",,,,
"Wings of War.4","Permanent Conflict",,,,
"Wings of War.5","Age of Chaos",,,,
"Great March.0","Great March",,,,
"Great March.1","Great March",,,,
"Great March.2","Masterful Momentum",,,,
"Great March.3","Huntfall",,,,
"Great March.4","Liberation",,,,
"Great March.5","March of the Four Wind",,,,
"Casus Belli.0","Casus Belli",,,,
"Casus Belli.1","Casus Belli",,,,
"Casus Belli.2","Great Conquest",,,,
"Casus Belli.3","Manifest Destiny",,,,
"Casus Belli.4","Divine Right",,,,
"Casus Belli.5","Heaven Mandate",,,,
"Imbue Poison.0","Imbue Poison",,,,
"Imbue Poison.1","Imbue Poison",,,,
"Imbue Poison.2","Imbue Toxin",,,,
"Imbue Poison.3","Imbue Numb Poison",,,,
"Imbue Poison.4","Imbue Powder Poison",,,,
"Imbue Poison.5","Imbue Deadly Poison",,,,
"First Aid.0","First Aid",,,,
"First Aid.1","First Aid",,,,
"First Aid.2","Field Surgeon",,,,
"First Aid.3","Battle Medic",,,,
"First Aid.4","War Doctor",,,,
"First Aid.5","Conflict Healer",,,,
"Careful Shot.0","Careful Shot",,,,
"Careful Shot.1","Careful Shot",,,,
"Careful Shot.2","Sniping Shot",,,,
"Careful Shot.3","Pinpoint Shot",,,,
"Careful Shot.4","True Aim Shot",,,,
"Careful Shot.5","Perfect Shot",,,,
"Free Destiny.0","Free Destiny",,,,
"Free Destiny.1","Free Destiny",,,,
"Free Destiny.2","Tilt the Scale",,,,
"Free Destiny.3","Freedom Before Order",,,,
"Free Destiny.4","Topple Tyranny",,,,
"Free Destiny.5","Anarchic Dream",,,,
"Temporary Truce.0","Temporary Truce",,,,
"Temporary Truce.1","Temporary Truce",,,,
"Temporary Truce.2","Peace Adaptation",,,,
"Temporary Truce.3","Peace Plan Establishment",,,,
"Temporary Truce.4","Armistice",,,,
"Temporary Truce.5","Road to Utopia",,,,
"Heat Burst.0","Heat Burst","Smiting the outer heat stone to burst out the inner flame of nearby allies. Greatly increase speed and poison resistance at the cost of defence and suffer minor damage over time. Cost some resources but has no cooldown.",,,
"Heat Burst.1","Heat Burst",,,,
"Heat Burst.2","Adrenaline Burst",,,,
"Heat Burst.3","Full Vitality",,,,
"Heat Burst.4","Limit Breaching",,,,
"Heat Burst.5","Temporal Ascension",,,,
"Heat Inner.0","Heat Inner","Smiting the inner heat stone to balance the inner flame of nearby allies. Increase attack power and water resistance at later levels with the cost of magic resistance reduction. ",,,
"Heat Inner.1","Heat Inner",,,,
"Heat Inner.2","Powered Body",,,,
"Heat Inner.3","Fiery Heart",,,,
"Heat Inner.4","Inherit Might",,,,
"Heat Inner.5","Arms of Morzug",,,,
"Heat Burst Inner.0","Heat Burst Inner","Smiting both inner and outer heat stones. This action destabilises the air temperature and causes a heat wave to expel outwards. Damage nearby enemies with fire elements and significant knockback impact. Cost a high amount of resources but has no cooldown.",,,
"Heat Burst Inner.1","Heat Burst Inner",,,,
"Heat Burst Inner.2","Outer Energy",,,,
"Heat Burst Inner.3","Excess Power",,,,
"Heat Burst Inner.4","Small Star",,,,
"Heat Burst Inner.5","Avatar of Cituzk",,,,
"Chill Burst.0","Chill Burst","Smiting the outer cold stone to bolster the cold air into a protective aura for all nearby allies. Increase defence and fire resistance at the cost of fire resistance. Cost high resources but has no high cooldown.",,,
"Chill Burst.1","Chill Burst",,,,
"Chill Burst.2","Cold Ward",,,,
"Chill Burst.3","Calm Soul",,,,
"Chill Burst.4","Complete Defence",,,,
"Chill Burst.5","Apotheosis",,,,
"Chill Inner.0","Chill Inner","Smiting the inner cold stone to infuse the body with regenerative cooling for all nearby allies. Increase health regeneration and fire resistance. At later levels also increases resource regeneration and magic resistance. Cost no resources but has a high cooldown.",,,
"Chill Inner.1","Chill Inner",,,,
"Chill Inner.2","Cool Body",,,,
"Chill Inner.3","Cool Heart",,,,
"Chill Inner.4","Inner Peace",,,,
"Chill Inner.5","Perfect Balance",,,,
"Chill Burst Inner.0","Chill Burst Inner","Smiting both inner and outer cold stones. This action destabilises the air temperature and causes a cold wave to expel outwards. Damage nearby enemies with water elements and moderate knockdown impact. Cost a high amount of resources but has no cooldown.",,,
"Chill Burst Inner.1","Chill Burst Inner",,,,
"Chill Burst Inner.2","Air Cooling",,,,
"Chill Burst Inner.3","Cold Wave",,,,
"Chill Burst Inner.4","Dark Moon",,,,
"Chill Burst Inner.5","Avatar of Pizhezk",,,,
"Fire Trap.0","Fire Trap","Set up a fire trap at the current position. The trap will activate when an enemy comes near it and unleashes a patch of flame. Cost high resources but will return a trap remain drop after activation.",,,
"Fire Trap.1","Fire Trap","A small fire trap that leaves a small patch of fire on the ground. Dealing damage to whoever comes into contact with it and inflicting Burn status.",,,
"Fire Trap.2","Burning Oil Trap","A devious blend of oil formula leaves a persisting fire for a longer period and burns the victims much longer. A significant improvement over the original firebomb.",,,
"Fire Trap.3","Napalm Trap","A new mechanism has been implanted to make the oil spread much further than ever before, leaving a larger patch of fire after the trap activation.",,,
"Fire Trap.4","Black Flame Trap","A red flame, while can inflict fear on many due to its danger, is still a common sight that many know its nature by heart. With a combination of chemistry wonders, a dark colour flame can be artificially produced. Such sight, no doubt, almost makes it like the grand devil has appeared. Inciting panic in all that come into contact with it.",,,
"Fire Trap.5","Inferno Trap",,,,
"Stink Trap.0","Stink Trap","Throw out a trap bag containing stink powder. The trap will activate and unleash a cloud of stink smell when an enemy comes near it after it reaches the ground. Deal no damage on its own but inflict strong debuffs. Cost small resources but will return a scrap drop after activation.",,,
"Stink Trap.1","Stink Trap","Almost no one can fully focus while a stinking smell passes through their nose. This bag of stinking smell will unleash an abomination once the banding comes loose from any impact.",,,
"Stink Trap.2","Tear Trap","Some smell is simply so bad they can induce tear in those affected by it. Making them unable to fight effectively and struggling to perform even a simple task. ",,,
"Stink Trap.3","Blind Trap",,,,
"Stink Trap.4","Stun Trap",,,,
"Stink Trap.5","Brain Drain Trap",,,,
"Snare Trap.0","Snare Trap","Set up a snare trap at the current position. The trap will activate when an enemy comes near it and damage the enemy while also pinning them in place. Cost small resources but will return a scrap drop after activation.",,,
"Snare Trap.1","Snare Trap","A snare trap that will snap at the unfortunate victim, rendering them unable to move for a short time.",,,
"Snare Trap.2","Paralysis Trap","A snare trap coated with paralysing toxin leaves the victim pinned down and unable to fight effectively.",,,
"Snare Trap.3","Razor Trap",,,,
"Snare Trap.4","Lifesnare Trap",,,,
"Snare Trap.5","Death Zone Trap",,,,
"Poison Trap.0","Poison Trap","Set up a poison trap at the current position. The trap will activate when an enemy comes near it and unleashes a poison smoke. Cost moderate resources but will return a trap remain drop after activation.",,,
"Poison Trap.1","Poison Trap","A trap with a bottle containing a better-unnamed and left unknown toxin mixture that, once comes into contact with air, will evaporate and poison any who inhales it from within.",,,
"Poison Trap.2","Numb Trap","With a drop of a certain compound, this new formula of evaporative poison trap also induces fatigue to the victim, making them slower to act.",,,
"Poison Trap.3","Deadly Poison Trap",,,,
"Poison Trap.4","Certain Death Trap",,,,
"Poison Trap.5","Necromist Trap",,,,
"Bolt Thrower Deploy.0","Bolt Thrower Deploy","Set up an automated bolt turret that shoots a bolt every few seconds at nearby enemies. The turret will be destroyed when its duration or health runs out. Costs high resources but has no cooldown.",,,
"Bolt Thrower Deploy.1","Bolt Thrower Deploy",,,,
"Bolt Thrower Deploy.2","Scorpion Deploy",,,,
"Bolt Thrower Deploy.3","Reinforced Scorpion Deploy",,,,
"Bolt Thrower Deploy.4","Ballista Deploy",,,,
"Bolt Thrower Deploy.5","Power Ballista Deploy",,,,
"Focused Engineering.0","Focused Engineering","Focus all attention into engineering mode. Reduce resource cost during the effect duration and potentially improve other stats. Cost no resources but has a high cooldown time.",,,
"Focused Engineering.1","Focused Engineering","Handling traps is a delicate activity. One wrong movement can set off the trap and waste it uses. A focused mind can reduce such avoidable mistakes and wastes.",,,
"Focused Engineering.2","Unbound Expertise","A good engineer can modify their handiworks to suit any situation, including making their movement and skill much more effective in dealing with the enemy.",,,
"Focused Engineering.3","Multitask Exertion",,,,
"Focused Engineering.4","Ingenious Moment",,,,
"Focused Engineering.5","Trapper Mastermind",,,,
"Spear True Wind.0","Spear True Wind","Concentrate the wind power on the spear and throw it forward. The power is so immense that it can penetrate anything. Can only be used after a Special attack in the spear stance. Cost high resources.",,,
"Spear True Wind.1","Spear True Wind","The wind traverses as the wind does. Where it came from and where it will reach, to pursue the breath of Parkitoinuy (Wind God in Nariele belief) is to understand all of nature. Prophet Awilorde, ""Teaching of Awilorde"".",,,
"Spear True Wind.2","Mighty Wind","The mighty wind can not be stopped by mountains or man-made towers. Its will to journey the globe until its natural death makes it the greatest traveller in all worlds. Prophet Awilorde, ""Teaching of Awilorde"".",,,
"Spear True Wind.3","Unstoppable Wind",,,,
"Spear True Wind.4","Divine Wind",,,,
"Spear True Wind.5","Darkness Under The Wind",,,,
"Flail Flame Tornado.0","Flail Flame Tornado","Unleash the power of fire in wild swings of the lantern flail. The movements are akin to a chaotic whirlwind. Can only be used after a Special attack in the flail stance. Cost high resources.",,,
"Flail Flame Tornado.1","Flail Flame Tornado","Embrace the gift of nature, for it is intended for us. The fire will warm our children. The cold will make us stronger. The earth will be the foundation of our city. The city will be built not by wood or stone but by the blood and sacrifice of our people. Prophet Awilorde, ""Teaching of Awilorde"".",,,
"Flail Flame Tornado.2","Ember Storm","The fury of flame is righteous, the whirling of wind is righteous, and the serenity of water is righteous. All that exists in the world is righteous. No high or low beings can break the will of gods, for they live according to their highest will. Prophet Maghor, “True Will”",,,
"Flail Flame Tornado.3","Blazing Gyre",,,,
"Flail Flame Tornado.4","Wrath Punishment",,,,
"Flail Flame Tornado.5","Birth of All Element",,,,
"Sword Glacier.0","Sword Glacier","Swing out the cold power inside the sword to form a glacier. Inflicting cold damage on enemies that get caught in it. Can only be used after a Special attack in the sword stance. Cost high resources.",,,
"Sword Glacier.1","Sword Glacier","The first cold starts when life is born. All children left from their mother's cradle, whether of fresh or shell. The first lesson that Alorki (Wind God in Lulislc faith) gave is that life starts with suffering so we may know true happiness. Teacher Neiswelre, ""Dream and Suffering"".",,,
"Sword Glacier.2","Frostbound",,,,
"Sword Glacier.3","Frozen Moment",,,,
"Sword Glacier.4","Claw of Time",,,,
"Sword Glacier.5","Gaze Behind Infinity",,,,
"Hammer Light Radiance.0","Hammer Light Radiance","Form a very strong, bright light that blinds all nearby enemies. Can only be used after a Special attack in the hammer stance. Cost high resources.",,,
"Hammer Light Radiance.1","Hammer Light Radiance","Each day forms with the light of the gods. For we exist in their domains, and their light will guide us to the righteous. Polituseos, ""The beginning of all"".",,,
"Hammer Light Radiance.2","Mellow Dawn","The gentle dawn rings throughout the sky, yellow depart blue. As the sun rises from the tallest mountain and deepest ocean, the coaction of life circles starts anew. The Sontrieles daybreak poem.",,,
"Hammer Light Radiance.3","Shining Sin",,,,
"Hammer Light Radiance.4","Brilliant Light",,,,
"Hammer Light Radiance.5","The First Day","For darkness is not eternity",,,
"Mace Darkness Engulf.0","Mace Darkness Engulf","Form a cloud of darkness that renders all enemies inside unable to defend incoming attacks. Can only be used after a Special attack in the mace stance. Cost high resources.",,,
"Mace Darkness Engulf.1","Mace Darkness Engulf","True darkness begins in the heart. Fear, anger, hatred, and sorrow: the four embodiments of true intelligence, for to understand everything, one must start from nothing (darkness). To leave the darkness behind is to understand oneself. Scholar Morictist, ""To understand the Teaching of Awilorde"".",,,
"Mace Darkness Engulf.2","Unlit Expanse",,,,
"Mace Darkness Engulf.3","Hollow Sight","The nearest to the sky lies true darkness, where nothingness exists. Not even the mightiest of wind can rise to such a peak, for that is the domain of Intuarl (Void God in Lulislc faith). Polituseos, ""The beginning of all"".",,,
"Mace Darkness Engulf.4","Fading Light",,,,
"Mace Darkness Engulf.5","The Last Night","All beginning has an end. Does an end also have its own end? When the Last Night ends, will the First Day begin again? Mapolous, ""The Last Question"".",,,
"Axe Earth Shatter.0","Axe Earth Shatter","Crush the axe to the ground and activate its earth power, causing the ground to shake violently and inflict all nearby enemies. Can only be used after a Special attack in the axe stance. Cost high resources.",,,
"Axe Earth Shatter.1","Axe Earth Shatter","The true strength of the earth is not in its toughness but in its flexibility to change. The shape may change, and the composition may shift, but the totality stays forever the same.",,,
"Axe Earth Shatter.2","Foundation Fracture",,,,
"Axe Earth Shatter.3","Lord of Land",,,,
"Axe Earth Shatter.4","Lost World","A blind man once posed me a question: What does the world look like through the vision of eyes? And it occurred to me that the very precept of reality can alter depending on those who perceive it. Some may live through hell with suffering, while some may live in heaven with comfort and love. What about the reality of life in time? Some may live in days, while we elves can live to millinuem. How can we determine then that our perception is the same as others and formulate true life purpose? Mapolous's Legacy, ""The Lost World"".",,,
"Axe Earth Shatter.5","Futile End",,,,
