"ID","Name","Description","Ally","Enemy","Tag"
"strategy_age_of_heroes","Age Of Heroes","All can become a hero. They only need to see an example.","Here is thus the Age of Heroes. Fight well for the new age to come.","The Age of Heroes is bestowed and abode once more. May perished becomes legacy.",
"strategy_arcane_blossom","Arcane Blossom","Diffuse mana in the air. Apply health and resource generation to allies in a large area.","Receive well my essence and be filled with vigour!","Enemy spreads mana to regenerate health and resources!",
"strategy_betrayal","Betrayal","Loyalty is not permanent. Make some enemies change to your side for a while.","There is no worth in committing to your duty. Join me, and you may yet live.","Betrayal! Our troops are turning on us!",
"strategy_blazing_heart","Blazing Heart","Light up one heart to highly increase offensive power.","I will fight with all my heart!","Enemy gains a blazing heart! Be careful of their offence!",
"strategy_bravery","Bravery","Instil bravery in allies in a medium area, and they will be more effective in an offensive.","Be brave, my fellow! I am here with you, always!","Enemies become braver! Beware of great offensives.",
"strategy_bribery_betrayal","Bribery Betrayal","Loyalty can be bought. Even a promise of money can waver the heart of the weak.","It is time to earn your contract, stab their back!","Enemy bribes our troops! Some may turn on us!",
"strategy_brilliance","Brilliance","Brilliantly execute a support strategy. All will fight beyond their capabilities.","In brilliance will we reach the heavenly perfection of life.","Enemy perpetrates brilliance! Only our finest will be able to match them.",
"strategy_chaos_invasion","Chaos Invasion","Open the summoning gate to summon fellow demons into the world.","We will lay claim to this land as our own!","Enemy summons demons! Kill them!",
"strategy_clarity","Clarity","Clear minds to dispel negative psychological effects.","Clear your confusion; such trifling trickery will bring no victory.","Enemy bestows clarity! Enemy troops are free from any negative psychological effects!",
"strategy_command_collapse","Command Collapse","Collapse the command of enemies in a large area into an ineffective false attack.","A false message: Protect that ground, move not enemy at you now.","Enemy collapses our command! Our troops remain idle instead of attacking!",
"strategy_commander's_duty","Commander's Duty","The duty of the commander is to first ensure that the troops understand the orders and respond in the most efficient manner.","It is my duty to command lives. So, I shall.","Enemy enacts the commander's duty! They gain proficiency in skill usage.",
"strategy_coward's_conviction","Coward's Conviction","All allies in a medium area will run away and recover.","To live and fight another day brings not scorn to the future victor.","Our enemies intend to flee. Perhaps a pursuit is suggestible?",
"strategy_cowardice","Cowardice","Inflict cowardice on enemies in a small area. They will run from the battle for some time.","Run away or perish!","Our allies become cowards! Enemy's meddling, no doubt!",
"strategy_crisis_measurement","Crisis Measurement","All must do their best to avert the crisis. Allies in a medium area will be significantly improved in the defence and speed departments.","All crises can be averted, or else terminated!","Enemy commences contingency protocol, expect substantial resistance.",
"strategy_deception","Deception","Nearby allies in a medium area become invisible.","They will expect but exact nothing.","Deception! Our enemies become invisible and will strike at us unseen!",
"strategy_defiance","Defiance","Defy all oppressions. Enter into the state of absolute defence.","We will not surrender! Fight to the last!","Enemies are defying our might! Maintain our offensive.",
"strategy_demoralise","Demoralise","Inflict enemies in a medium area with fear and terror. Making them unable to fight at full potential.","Futility in all of your merits! Only your widows will remain after this defeat.","Enemy inflicts fear on our troops!",
"strategy_determination","Determination","Determined to be victorious, all allies in a large area become more confident in their attacks.","Be determined and be victorious, ye courageous and righteous soldiers.","Enemies are determined! Ready our defend!",
"strategy_discipline","Discipline","Instil discipline in nearby allies, making them more effective in battle.","You will obey my command or suffer punishment.","Enemies gain discipline! No matter, we will crush them all the same!",
"strategy_diversion","Diversion","Create a diversion for a small group of enemies. They will try to retreat from combat.","A false message: Enemies are elsewhere! ","Enemy create diversion on us! Our troops are moving away from combat!",
"strategy_divine_potency","Divine Potency","Empower nearby allies with divine power that enhances their fighting ability.","The divinity flows in us all. Now capitalise it.",,
"strategy_divine_purity","Divine Purity","Clear all impurity from nearby allies in a large area with holy radiance.","May we ever be blessed in the embrace of innocence.","Enemy reveals divine purity! Any negative effects we inflicted are removed.",
"strategy_doll_wave","Doll Wave","Create a bunch of dolls to fight!","Come, my little dolls. Go, and take your fill.","Enemy summons a doll battalion!",
"strategy_dread_fury","Dread Fury","Emit raw might. Nearby allies will enter the stage of frenzy, and nearby enemies will become fearful.","Stand and despair! Fall and die!","Enemies become berserk! Hold the line, do not run!",
"strategy_dream_of_unification","Dream Of Unification","Unification may be a dream, but the will can make it a reality. Allies in a large area gain significant offence and speed boost.","We will unite once more to glory old.",,
"strategy_encourage","Encourage","Encourage nearby allies. They will fight slightly better.","Fear not, my allies! Victory is sure to come for us, the righteous!","Enemies are encouraged! Ha! Only defeat awaits them!",
"strategy_ensnare","Ensnare","Slow down Enemies in a large area.","Slow down Enemies, their speed will bring them no victory.","Our troops become ensnared with slowness!",
"strategy_entrap","Entrap","Entrap multiple enemies in place.","You all are in the palm of my hand.","Enemy tries to entrap us! Brace yourself!",
"strategy_escalation_of_conflict","Escalation Of Conflict","Inflict allies with escalation effect. They will first become weaker but gradually grow stronger over time.","Prepare, endure, then destroy.","Enemy escalates the battle! Kill them before they can!",
"strategy_establish_control","Establish Control","Establish control over your army. Remove negative psychological status effects and improve defence.","There is only one directive, and that is to obey me!",,
"strategy_false_advance","False Advance","Inflict enemies with a false advance command. They will forcefully move toward your army.","Your lord is nought but a fraud! You are but a mere cattle for following them so blindly!","Enemy leads our troops into a false advance!",
"strategy_false_idle","False Idle","Inflict enemies with a false idle command. They will stand around instead of moving to attack.","A false message: Stand your ground, await further command.","Enemy confuses our troops into a false idle!",
"strategy_false_retreat","False Retreat","Inflict enemies with a false retreat command. They will forcefully retreat from battle.","A false message: Retreat to the main camp! ","Enemy misleads our troops into a false retreat!",
"strategy_finest_mastery","Finest Mastery","Display the finest combat mastery with drastic speed and power. Improve the commander's speed and resource generation.","Behold my cultivation of a lifetime!","Enemy exhibits true mastery of combat! Surround them!",
"strategy_forgotten_pain","Forgotten Pain","Use medicinal properties on allies in a medium area. They will heal from minor damage and enter an aggressive state.","Forget your pain and fear. I am here with you.","Enemy drug their troops into fervour! Keep going!",
"strategy_foundation_of_an_empire","Foundation Of An Empire","A battle to found an empire, one at a time. Allies in a very large area become significantly more effective in combat.","My empire starts with me!",,
"strategy_gate_of_hell","Gate Of Hell","Open the summoning gate to summon demon warriors into the world.","Come forth, my fellows, the new Eden awaits us.","Demons from hell! Drive them back to where they belong!",
"strategy_god_of_war","God Of War","Apotheosise into a god of war embodiment. Nearby allies gain extraordinary improvement in all aspects.","You will face me in war!","Hell! The god of war bless our enemies!",
"strategy_god_speed","God Speed","Bestow allies in a huge area with unmatchable speed.","Be resolute, Gods are with us this day!","Enemies gain extreme speed!",
"strategy_great_assault","Great Assault","Launch a great assault. Allies in a large area become better at attacking.","Come, my soldiers! Do not let Enemies have any advantage!","Enemies launch a great assault! Prepare the defence!",
"strategy_great_destruction","Great Destruction","Unleash great destruction! The commander will receive incredible offensive power.","Observe the dissolution of all that you love, for they are in the equation of your sins.","Enemy prepares to unleash destruction!",
"strategy_great_enlightenment","Great Enlightenment","Grant nearby allies with enlightenment. They will be able to gain more and use fewer resources to execute skills.","With enlightenment, we see through the limits and possibilities of ourselves.",,
"strategy_great_manoeuvre","Great Manoeuvre","Perform a great manoeuvre. Allies in a large area can move faster.","With speed, we will envelop the enemies and annihilate them!","Enemies in large numbers gain a speed boost!",
"strategy_great_taunt","Great Taunt","Taunt enemies and inflict provoke status on enemies, making them focus on attack rather than defend.","Come, you knaves! Come, and take your fill!","Damnation! Enemy is taunting our troops!",
"strategy_greed","Greed","Instil the power of greed into allies. They will fight to the utmost, even at the cost of their life.","What is greed but the most natural of the mind!","Enemies are filled with greed for the spoils of war! Repel them!",
"strategy_guardian_star","Guardian Star","Become a guardian star. Gain superb speed and regeneration.",,,
"strategy_imperial_decree","Imperial Decree","Issue an imperial decree. In a huge area, allies gain a superb defensive buff while enemies become fearful.","An imperial decree. The absolute will of heaven made manifested. Accept of die.",,
"strategy_incite_panic","Incite Panic","Incite panic among enemies in a medium area. Rendering them less combat effective overall.","When there is no order, then only chaos remains!","Panic! Do not panic! Stand your ground! Attack!",
"strategy_inevitable_end","Inevitable End","Show enemies in a huge area their final doom. They will know true fear.","There is only one ending for you! Defeat and death!","Enemy shows us a false future! Do not believe their lies!",
"strategy_ingenuity","Ingenuity","Display ingenuity that can change the world. Commander will be able to gain more and use fewer resources to execute skills.","I see inspiration!","Enemy commander gains ingenuity! They can unleash skills more efficiently now.",
"strategy_insight_echo","Insight Echo","Offer great insight to nearby allies in a small area. This will clear their mind and improve their skill usage capability.","See and observe. Analyse what you learn and observe further until a conclusion is found.",,
"strategy_justice","Justice","Become the avatar of justice and punish wrongdoers with impunity. Significantly improve overall combat capability.","Come, thus justice to being!","Enemies intend to exact justice. Return them the retribution they so crave!",
"strategy_legislate_hegemony","Legislate Hegemony","Absolute authority. Command allies in a huge area with efficiency, their ability will be improved in all accounts.","One rule, one law. All must obey it.",,
"strategy_lightning_advance","Lightning Advance","Advance at a lightning speed! Allies in a large area will move faster and attack better.","Only with unmatched speed can we be triumphant!","Enemies execute a lightning advance! Can we match them?",
"strategy_loyalty","Loyalty","Assert loyalty. Rid allies in a large area of negative psychological effect and boost defence.","Loyalty or death. There are no other choices.",,
"strategy_lure","Lure","Lure enemies in a small area into forced advance.","Come to me as fast as you can.","Enemy lures our troops! Support them!",
"strategy_majesty","Majesty","Exude a majestic aspect. Nearby allies in a large area become better in combat.",,,
"strategy_march_of_the_four_winds","March Of The Four Winds","Call upon the four winds to greatly hasten allies in a large area.","The Four Winds are with us. Ride forth!","Enemies are on the march like the wind itself!",
"strategy_master_plan_initiative","Master Plan Initiative","Launch a master plan. Allies in a large area will receive offensive improvement and heal. Also, remove negative psychological effects.","The time is now.",,
"strategy_mastery","Mastery","Exert one's own mastery. Improve resource regeneration and speed.","Witness mastery of the age!","Enemy demonstrates mastery! Their commander will be ready for our attack.",
"strategy_military_masterpiece","Military Masterpiece","Conduct a historical strategic manoeuvre. Nearby allies in a very large area gain an offence and speed augmentation.","My strategy cannot be stopped.","Enemy performs a military masterpiece! Watch out for their manoeuvre!",
"strategy_minor_clarity","Minor Clarity","Remove negative psychological status from nearby allies in a large area.","Clear your mind and be rid of uncertainty.","Enemy bestows clarity! Enemy troops are free from any negative psychological effects!",
"strategy_minor_combat_aid","Minor Combat Aid","Provide moderate healing to allies in a medium area.","Receive well my support and requite with your renewed strength.","Enemy provides combat aid to their troops! They will recover from injury soon.",
"strategy_minor_defensive","Minor Defensive","Improve the defence of allies in a large area.","Defend well first, then strike back harder.","Enemy executes a defensive strategy! They will be ready for an attack.",
"strategy_minor_demoralise","Minor Demoralise","Inflict fear on enemies in a large area.","Why do you fight? There is no reward in death.","Enemy demoralises us with fear! ",
"strategy_minor_discipline","Minor Discipline","Moderately improve the offence and defence capability of allies in a small area.","You will do your duty with no complaint!","Enemy establishes discipline among the troops! They will be more ready for us now.",
"strategy_minor_encourage","Minor Encourage","Encourage nearby allies in a small area. They will fight slightly better.","Fight!","Enemy encourages their troops to fight better!",
"strategy_minor_false_advance","Minor False Advance","Inflict enemies in a small area with a false advance command. They will forcefully move toward your army.","Your lord is nought but a fraud! You are but a mere cattle for following them so blindly!","Enemy confuses our troops into a false advance!",
"strategy_minor_false_idle","Minor False Idle","Inflict enemies in a small area with a false idle command. They will stand around instead of moving to attack.","A false message: Stand your ground, await further command.","Enemy confuses our troops into idleness!",
"strategy_minor_false_retreat","Minor False Retreat","Inflict enemies in a small area with a false retreat command. They will forcefully retreat from battle.","A false message: Retreat to the main camp! ","Enemy confuses our troops into a false retreat!",
"strategy_minor_great_cure","Minor Great Cure","Remove negative physical status from nearby allies in a large area.","Let me cure you of ailments.","Enemy cures their troops of negative physical status!",
"strategy_minor_offensive","Minor Strengthen","Improve the offence of allies in a large area.","Go go go! Fight fight!","Enemy executes an offensive strategy! Be careful!",
"strategy_minor_prayer","Minor Prayer","Offer blessings to allies in a large area.","Show me your will to live and listen well to the guidance of the lord.","Enemy is conducting a prayer. A futile effort!",
"strategy_minor_rally","Minor Rally","Rally allies in a small area to move faster.","Full speed!","Enemies are rallying to attack!",
"strategy_miracle_fortuity","Miracle Fortuity","Miracle of life. Heal allies in a medium area.","Receive this gift of a miracle!","Enemy enacts a miracle of healing!",
"strategy_natural_chaos","Natural Chaos","Start a chaos in a huge area. Randomly change the weather, and everyone in the area will enter an escalation state.","Chaos in the beginning, order is the end.","Chaos! Chaos! Chaos!",
"strategy_omen_of_victory","Omen Of Victory","Omen of victory has been observed. Allies in a huge area will fight to the fullest to achieve it.","The wind changes in our favour, and the clouds show signs of good omen. We will win!","Enemy declares a sign of their victory. We must overturn it.",
"strategy_on_the_defensive","On The Defensive","Defend at all costs. Allies in a large area gain a significant defensive boost.","The best offence begins with the best defence!","Enemy launches a defensive operation!",
"strategy_paragon_providence","Paragon Providence","With divine power, bestow nearby allies in a huge area with improvement in all aspects.",,"Enemy releases divine power! They are now blessed with strength.",
"strategy_pathfinding","Pathfinding","Lead your allies through tough terrains. Allies in a medium area gain a significant speed boost.","Observe the correct passage, and the correct plan can be formulated.","Enemies gain pathfinding! They will move toward us with more speed now!",
"strategy_precise_execution","Precise Execution","Apply various negative statuses to enemies in a medium area that leave them vulnerable.","Exploit their weakness, and if there is none, create one.","Enemies know our weaknesses! Watch out for their exploit!",
"strategy_purification","Purification","Perform purification. Dispel all manners of negative effects from allies in a huge area.","Impurity and corruption exist not within our light.","Enemy clears all the negative effects we inflicted on their troops!",
"strategy_rally","Rally","Rally allies in a large area to move faster.","Full speed ahead!","Enemies are rallying to attack!",
"strategy_reign_of_order","Reign Of Order","Establish the reign of order. Allies in a huge area receive clarity and resource generation.",,,
"strategy_rune_craft","Runic Infusion","Craft a rune of manipulation that makes nearby allies in a very large area use fewer skill resources.","Rune power!","Enemies gain runic power! Their skills use fewer resources now.",
"strategy_saint_exemplar","Saint Exemplar","Demonstrate the ideal of a saint. Nearby allies in a medium area will gain significant improvement in resource capability.",,,
"strategy_salvation","Salvation","Provide salvation to allies in a medium area. They will receive powerful healing and regeneration.","Embrace willingly in the divine, and salvation will come.","Enemy provides healing to their troops!",
"strategy_static_mastery","Static Mastery","Make allies stationary in a medium area, while significantly improving their offensive power.","Stand firm and show them the greatest of battle!","Enemies establish static mastery. They will hold firm and fight at the fullest.",
"strategy_steady_advance","Steady Advance","Conduct a steady advance. Allies in a large area will gain speed and defence increases.","We shall advance with care, friends! Glory awaits!","Enemies launch a steady advance. They will attack us with certainty!",
"strategy_terror","Terror","Implant terror in the minds of enemies in a large area.","You have yet to know true fear until now!","Enemy casts terror on us!",
"strategy_torment_tempest","Torment Tempest",,,,
"strategy_triumphant_of_the_worthy","Triumphant Of The Worthy","The worthy will prevail. Allies in a large area gain significant improvement in all aspects.",,,
"strategy_undead_plague","Undead Plague","Unleash undead plague on enemies, making them less effective in combat.","They have lived for too long, let them embrace eternity together with us.","Enemy unleashes undead plague! Bhasphemy most foul!",
"strategy_unity","Unity","Create unity among friends in a large area. Moderately improve their combat powers.","Unity! Together to victory!","Enemies form unity among themselves! They are hopeful and filled with strength.",
"strategy_unwavering_faith","Unwavering Faith",,"Why waver when I am with you always?",,
"strategy_web_of_deception","Web Of Deception","Establish the web of deception. Allies in a huge area gain combat improvement, while enemies receive provoke and confuse status.","A tug and the wave remit. Move one piece and the whole world moves.","We fall under deception most foul! Keep on fighting!",
"strategy_will_domination","Will Domination","Dominate the minds of enemies in a medium area. They will betray and join your side.","Listen and obey. Your master demands it.","Enemy dominates the will of our troops! They are changing sides! ",
"test","Test Strategy","This is a test strategy. It does stuffs.","Test has been activated by you. Something changed.","Enemy activate test. Very good. Very bad. Very normal. Can be better.",
"test2","Test Strategy 2","This is another test strategy. It does other stuffs. Better or worse.","Test 2 has been activated by yours truly. Stuff happened. Or does it?","Enemy activate test2. Extremely important. Maybe. But maybe not. Who can say?",
"weather_blood","Summon Blood Rain","Call down blood rain!","Blood! Only blood!","Enemy summons blood rain!",
"weather_blood_winter","Summon Blood Snow","Call down blood snow!","Behold the red winter!","Enemy summons blood snow!",
"weather_chaos_winter","Summon Thunder Snow","Call down thunder snow!","Cold and cruel nature, you will face the worst of the world!","Enemy summons thunder snow!",
"weather_cloud","Summon Cloud","Conjure cloud.","Blot out the sun!","Enemy summons cloud!",
"weather_dark_winter","Summon Dark Snow","Call down dark snow!","Only true misery awaits.","Enemy summons dark snow!",
"weather_decay","Summon Acid Rain","Call down acid rain!","The world of decay arrives.","Enemy summons acid rain!",
"weather_fog","Summon Fog","Conjure fog.","Come, cloud of fog and blind my enemies!","Enemy summons fog!",
"weather_hail","Summon Hail","Call down hail!","Wrath of the Cold God!","Enemy summons hail!",
"weather_rain","Summon Rain","Call down rain!","Hear my plea, Lord of Sky! Bless us with your gift!","Enemy summons rain!",
"weather_random","Change Weather","Pandamonium! Randomly create weather!","Chaos of war!","Enemy changes weather!",
"weather_sandstorm","Summon Sandstorm","Call forth a sandstorm!","The desert fury will wash away all filth!","Enemy summons sandstorm!",
"weather_snow","Summon Snow","Call down snow!","Winter comes!","Enemy summons snow!",
"weather_storm","Summon Storm","Call forth a storm!","Storm lord, grace us with your glory!","Enemy summons storm!",
"weather_sun","Clear Weather","Clear the weather!","O'Sun, you are the greatest of heaven!","Enemy clears weather!",
"weather_wet_fog","Summon Wet Fog","Conjure wet fog!",,"Enemy summons wet fog!",
"weather_wind","Summon Wind","Call forth wind!","Wind, heed my call!","Enemy summons wind!",
