"Character ID","ID","Name","Description"
"Vraesier","C4.1","Second Wind",
"Vraesier","C4.2","Steady Recovery",
"Vraesier","C4.3","Cleansing Body",
"Vraesier","C4.4","Vitality Burst",
"Vraesier","C4.5","Complete Rejuvenation",
"Vraesier","C5.1","Eclipse Slash",
"Vraesier","C5.2","Lesser Moon Arc",
"Vraesier","C5.3","Greater Moon Arc",
"Vraesier","C5.4","Crescent",
"Vraesier","C5.5","Beauty of Death",
"Vraesier","C6.1","Bash",
"Vraesier","C6.2","Smite",
"Vraesier","C6.3","Stagger Strike",
"Vraesier","C6.4","Mercy Blade",
"Vraesier","C6.5",,
"Vraesier","A1.1","Execution",
"Vraesier","A1.2","Beheading",
"Vraesier","A1.3","Decapitation",
"Vraesier","A1.4","Guillotine Slash",
"Vraesier","A1.5","Heads Will Roll",
"Vraesier","A2.1","Demon Hand",
"Vraesier","A2.2","Blood Drain",
"Vraesier","A2.3","Essence Drain",
"Vraesier","A2.4","Vampiric Touch",
"Vraesier","A2.5","Life Leech",
"Vraesier","A3.1","Bad Blood",
"Vraesier","A3.2","Fatal Blood",
"Vraesier","A3.3","Harden Blood",
"Vraesier","A3.4","Demonic Blood",
"Vraesier","A3.5","Hellish Blood",
"Vraesier","A4.1","Blood Flood",
"Vraesier","A4.2","River of Blood",
"Vraesier","A4.3","Oceanic Blood",
"Vraesier","A4.4","Demonic World",
"Vraesier","A4.5","Ruler of Hell",
"Vraesier","A5.1","Fear Aura",
"Vraesier","A5.2","Terror Image",
"Vraesier","A5.3","Demonic Sight",
"Vraesier","A5.4",,
"Vraesier","A5.5","Nemesis of All Being",
"Vraesier","B1.1","Pommel Smash",
"Vraesier","B1.2","Stunning Strike",
"Vraesier","B1.3","Cruel Justice",
"Vraesier","B1.4","Apprehend Suspect",
"Vraesier","B1.5","Brutal Blow",
"Vraesier","B2.1","Onslaught",
"Vraesier","B2.2","Extermination",
"Vraesier","B2.3","Massacre",
"Vraesier","B2.4","Genocide",
"Vraesier","B2.5","Carnage Unleash",
"Vraesier","B3.1","Cleave",
"Vraesier","B3.2","Great Cleave",
"Vraesier","B3.3","Supreme Cleave",
"Vraesier","B3.4","Great Divider",
"Vraesier","B3.5","Reality Sunder",
"Vraesier","B4.1","Right of Law",
"Vraesier","B4.2","Law Bringer",
"Vraesier","B4.3","Justice Above All",
"Vraesier","B4.4","Absolute Order",
"Vraesier","B4.5","Equality Under Heaven",
"Vraesier","B5.1","Punishing Crime",
"Vraesier","B5.2","Condemnation",
"Vraesier","B5.3","Instant Verdict",
"Vraesier","B5.4","Divine Punishment",
"Vraesier","B5.5","Judgment Day",
"Rodhinbar","C1.1","Barrage",
"Rodhinbar","C1.2","Swift Arrows",
"Rodhinbar","C1.3","Rapid Shots",
"Rodhinbar","C1.4",,
"Rodhinbar","C1.5","Finest Archery",
"Rodhinbar","C2.1","Charged Shot",
"Rodhinbar","C2.2","Penetrating Shot",
"Rodhinbar","C2.3","Great Shot",
"Rodhinbar","C2.4","Power Shot",
"Rodhinbar","C2.5","Kill Shot",
"Rodhinbar","C3.1","Arrow Shower",
"Rodhinbar","C3.2","Arrow Swarm",
"Rodhinbar","C3.3","Arrow Storm",
"Rodhinbar","C3.4","Arrow Tempest",
"Rodhinbar","C3.5","Blot Out the Sun",
"Rodhinbar","C4.1","Precision Slash",
"Rodhinbar","C4.2",,
"Rodhinbar","C4.3",,
"Rodhinbar","C4.4","Undeniable Attack",
"Rodhinbar","C4.5","Fateful Assault",
"Rodhinbar","C5.1","Retreating Shot",
"Rodhinbar","C5.2","Tactical Withdrawal",
"Rodhinbar","C5.3","Luring Escape",
"Rodhinbar","C5.4","Ambush Setup",
"Rodhinbar","C5.5","Rapid Draw",
"Rodhinbar","C6.1","Combat Acceleration",
"Rodhinbar","C6.2",,
"Rodhinbar","C6.3","Planning Annihilation",
"Rodhinbar","C6.4","Overcome the Limit",
"Rodhinbar","C6.5","Supreme Speed",
"Rodhinbar","A1.1","Explosive Arrow",
"Rodhinbar","A1.2","Firework Arrow",
"Rodhinbar","A1.3","Force Arrow",
"Rodhinbar","A1.4","Fire Burst Arrow",
"Rodhinbar","A1.5","Volatile Bomb Arrow",
"Rodhinbar","A2.1","Fire Trail Arrow",
"Rodhinbar","A2.2","Air Ignition Arrow",
"Rodhinbar","A2.3","Infernal Arrow",
"Rodhinbar","A2.4","Hellfire Arrow",
"Rodhinbar","A2.5","Bringer of Underworld",
"Rodhinbar","A3.1","Wings of War",
"Rodhinbar","A3.2","Prelude of the Great War",
"Rodhinbar","A3.3","War that Start All Wars",
"Rodhinbar","A3.4","Permanent Conflict",
"Rodhinbar","A3.5","Age of Chaos",
"Rodhinbar","A4.1","Great March",
"Rodhinbar","A4.2","Masterful Momentum",
"Rodhinbar","A4.3","Huntfall",
"Rodhinbar","A4.4","Liberation",
"Rodhinbar","A4.5","March of the Four Wind",
"Rodhinbar","A5.1","Casus Belli",
"Rodhinbar","A5.2","Great Conquest",
"Rodhinbar","A5.3","Manifest Destiny",
"Rodhinbar","A5.4","Divine Right",
"Rodhinbar","A5.5","Heaven Mandate",
"Rodhinbar","B1.1","Imbue Poison",
"Rodhinbar","B1.2","Imbue Toxin",
"Rodhinbar","B1.3","Imbue Numb Poison",
"Rodhinbar","B1.4","Imbue Powder Poison",
"Rodhinbar","B1.5","Imbue Deadly Poison",
"Rodhinbar","B2.1","First Aid",
"Rodhinbar","B2.2","Field Surgeon",
"Rodhinbar","B2.3","Battle Medic",
"Rodhinbar","B2.4","War Doctor",
"Rodhinbar","B2.5","Conflict Healer",
"Rodhinbar","B3.1","Careful Shot",
"Rodhinbar","B3.2","Sniping Shot",
"Rodhinbar","B3.3","Pinpoint Shot",
"Rodhinbar","B3.4","True Aim Shot",
"Rodhinbar","B3.5","Perfect Shot",
"Rodhinbar","B4.1","Free Destiny",
"Rodhinbar","B4.2","Tilt the Scale",
"Rodhinbar","B4.3","Freedom Before Order",
"Rodhinbar","B4.4","Topple Tyranny",
"Rodhinbar","B4.5","Anarchic Dream",
"Rodhinbar","B5.1","Temporary Truce",
"Rodhinbar","B5.2","Peace Adaptation",
"Rodhinbar","B5.3","Peace Plan Establishment",
"Rodhinbar","B5.4","Armistice",
"Rodhinbar","B5.5","Road to Utopia",
