"ID","Faction","One Time Event","Condition","Event Scene","Event Actor","Effect","Duration"
"leader_join_yuawies","any","TRUE","building_build:{small_faith_1_shrine=3},culture>:{small=0.3}",,"(leader_yuawies;EVENT_Join,0,0)","leader_unlock:leader_yuawies",
"leader_join_kak","any","TRUE","turn:80",,"(leader_kak;EVENT_Join,0,0)","leader_unlock:leader_kak",
"leader_join_nalana","any","TRUE","building_build:{small_food_2.2_flower_garden=3},culture>:{great=0.1}",,,"leader_unlock:leader_nalana",
"leader_join_olsilin","any","TRUE","building_build:{small_fun_1_water_spring=2},culture>:{small=0.5}",,,"leader_unlock:leader_olsilin",
"leader_join_vasla","any","TRUE","control_region:(rabbit_forest1),culture>:{small=0.2}",,"(leader_vasla;EVENT_Join,0,0)","leader_unlock:leader_vasla",
"leader_join_nadvalin","any","TRUE","control_region:(near_rabbit_forest3),culture>:{small=0.4}",,"(leader_nadvalin;EVENT_Join,0,0)","leader_unlock:leader_nadvalin",
"leader_join_kelwy","any","TRUE","character_employ:leader_iri,culture>:{small=0.3},building_built:{small_arty_2_gunnery_guild=2}",,,,
"leader_join_dollking","dollkingdom","TRUE","region_number:5",,,"leader_unlock:leader_doll_king",
"leader_join_dollprincess","dollkingdom","TRUE","building_build:{doll_barrack_d2_factory=1}",,,"leader_unlock:leader_doll_princess",
"leader_join_dollqueen","dollkingdom","TRUE","building_build:{doll_settlement_4_mansion_glorious=2}",,,"leader_unlock:leader_doll_queen",
"leader_join_dollwagon","dollkingdom","TRUE","turn:70",,,"leader_unlock:leader_doll_wagon",
"leader_join_hus","dollkingdom","TRUE","building_build:{doll_fun_a1_theatre=1}",,,"leader_unlock:leader_hus",
"leader_join_verlindas","dollkingdom","TRUE","building_build:{doll_fun_a2_circus=2}",,,"leader_unlock:leader_verlindas",
"leader_join_taladamun","dollkingdom","TRUE","building_build:{doll_fun_a2_circus=2,doll_tech_d1_magic_tower=1}",,,"leader_unlock:leader_taladamun",
"leader_join_tensimpho","dollkingdom","TRUE","building_build:{doll_tech_a2_geo_academy=3}",,,"leader_unlock:leader_tensimpho",
"leader_join_noxbox201","dollkingdom","TRUE","region_number:12",,,"leader_unlock:leader_noxbox_201",
"leader_join_peltino","any","TRUE",,,,"leader_unlock:leader_peltino",
"leader_join_amgarn","any","TRUE","random:200",,,"leader_unlock:leader_amgarn",
"leader_join_amunsa","any","TRUE","random:200",,,"leader_unlock:leader_amunsa",
"leader_join_dashisi","any","TRUE","random:200",,,"leader_unlock:leader_dashisi",
"leader_join_diezralvir","any","TRUE","random:200",,,"leader_unlock:leader_diezralvir",
"leader_join_elmaliern","any","TRUE","random:200",,,"leader_unlock:leader_elmaliern",
"leader_join_entaguz","any","TRUE","random:200",,,"leader_unlock:leader_entaguz",
"leader_join_eona","any","TRUE","random:200",,,"leader_unlock:leader_eona",
"leader_join_filia","any","TRUE","random:200",,,"leader_unlock:leader_filia",
"leader_join_kapuni","any","TRUE","random:200",,,"leader_unlock:leader_kapuni",
,,,,,,,
"leader_join_kutip'aeh","any","TRUE","random:200",,,"leader_unlock:leader_kutip'aeh",
"leader_join_mratarvir","any","TRUE","random:200",,,"leader_unlock:leader_mratarvir",
"leader_join_nraesier","any","TRUE","random:200",,"(RULER;EVENT_RulerJoin,-200,0),(leader_nraesier;EVENT_Join,200,0)","leader_unlock:leader_nraesier",
"leader_join_oanogoht","any","TRUE","random:200",,,"leader_unlock:leader_oanogoht",
"leader_join_parna","any","TRUE","random:200",,,"leader_unlock:leader_parna",
"leader_join_remance","any","TRUE","random:200",,,"leader_unlock:leader_remance",
"leader_join_sonagsha","any","TRUE","region_number:30,random:50",,,"leader_unlock:leader_sonagsha",
"leader_join_unsi_ed","any","TRUE","random:200",,,"leader_unlock:leader_unsi_ed",
"leader_join_vraesier","any","TRUE","random:200",,"(RULER;EVENT_RulerJoin,-200,0),(leader_vraesier;EVENT_Join,200,0)","leader_unlock:leader_vraesier",
,,,,,,,
"leader_upgrade_1_monnirl","any","TRUE","character_employ:leader_monnirl,building_build:{castle_faith_2_cathedral=4}",,,"leader_upgrade:(leader_monnirl,leader_monnirl_saint)",
"leader_upgrade_1_adaqua","any","TRUE","character_employ:leader_adaqua,building_build:{small_money_b2_hunting_log=3}",,,"leader_upgrade:(leader_adaqua,leader_adaqua_huntress)",
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,"leader_nayedien_queen",
,,,,,,,
,,,,,,,
"leader_upgrade_bigta","weealliance","TRUE","turn:200,character_employ:leader_bigta",,,"choices:(leader_upgrade_1_bigta;leader_upgrade_2_bigta)",
,,,,,,,
"leader_upgrade_1_bigta","small","TRUE","leader_upgrade_bigta:leader_upgrade_1_bigta",,,"leader_replace:(leader_bigta,leader_bigta_sintor)",
"leader_upgrade_2_bigta","small","TRUE","leader_upgrade_bigta:leader_upgrade_2_bigta",,,"leader_replace:(leader_bigta,leader_bigta_bersa)",
,,,,,,,
,,,"leader_in_battle_victory:()",,,,
,,,,,,,
"leader_castle_amgarn","any","TRUE","character_employ:leader_amgarn,culture>:{castle=0.05}",,,"happiness:-10",8
"leader_castle_amgarn2","castle",,"character_employ:leader_amgarn,event_happen:(leader_castle_amgarn;6)",,,"choices:(leader_castle_amgarn2.1;leader_castle_amgarn2.2)",
"leader_castle_amgarn2.1","castle",,,,,,
"leader_castle_amgarn2.2","castle",,,,,,
